Singgahsini,Kos Andalan,Name,K. Mandi Dalam,WiFi,AC,Kloset Duduk,Kasur,Akses 24 Jam,Availability,Rating,Price,Kost Raw Value
-,+,Kost Feliz Guest House Wonocolo Surabaya,True,True,True,True,True,True,Ada,0,Rp3.000.000,7.0
-,-,Kost Wibowo I Tipe B Jambangan Surabaya,False,True,True,False,True,True,Sisa 1 kamar,0,Rp3.000.000,4.0
-,-,Rumah Kontrakan Grand Delta Sari Waru Sidoarjo,True,False,True,False,True,False,Sisa 1 kamar,0,Rp3.000.000,3.0
-,-,Kost Dhanesvara Wonocolo Surabaya,True,True,True,True,True,True,Ada,0,Rp3.000.000,6.0
-,-,Kost Bu Indarwati Waru Sidoarjo,False,False,True,True,True,True,Ada,0,Rp3.000.000,4.0
-,+,Kost Amazing Zone Tipe D Wonocolo Surabaya,True,True,True,True,True,True,Penuh,0,Rp3.000.000,8.0
-,-,Kost Tamansari Papilio Gayungan Surabaya,True,False,False,False,False,False,Penuh,0,Rp3.200.000,2.0
