Singgahsini,Kos Andalan,Name,K. Mandi Dalam,WiFi,AC,Kloset Duduk,Kasur,Akses 24 Jam,Availability,Rating,Price,Kost Raw Value
+,-,Kost Singgahsini Siwalankerto Permai Tipe A Surabaya,True,True,True,True,True,True,Sisa 3 kamar,0,Rp1.225.000,7.0
+,-,Kost Singgahsini Siwalankerto Selatan 68A Tipe A Wonocolo Surabaya,False,True,True,True,True,False,Ada,0,Rp1.000.000,5.0
-,-,Kost Gayungsari Tipe C Gayungan Surabaya,False,False,False,True,True,True,Sisa 1 kamar,0,Rp1.200.000,3.0
-,+,Kost Karyawati Tipe C Wonocolo Surabaya,True,True,False,True,True,False,Ada,0,Rp1.000.000,5.0
-,+,Kost Bu Ay Kutisari Wonocolo Surabaya,True,False,True,True,True,False,Ada,0,Rp1.200.000,5.0
-,+,Kost 77 Standard AC VIP Gayungan Surabaya,False,True,True,True,True,False,Ada,0,Rp1.000.000,5.0
-,+,Kost Griyo Siwalankerto Tipe A Wonocolo Surabaya,True,True,True,True,True,True,Ada,0,Rp1.250.000,7.0
-,+,Kost Eve Palace Connecting Wonocolo Surabaya,True,True,True,True,True,True,Ada,0,Rp1.000.000,7.0
-,+,Kost Jack Wonocolo Surabaya,False,True,True,True,True,False,Ada,0,Rp1.100.000,5.0
-,+,Kost Siwalan 68 Tipe A Wonocolo surabaya,True,False,False,True,True,True,Ada,0,Rp1.150.000,5.0
-,+,Kost Siwalan 68 Tipe B Wonocolo surabaya,True,False,False,True,True,True,Ada,0,Rp1.000.000,5.0
-,+,Kost Siwalan 68 Tipe C Wonocolo surabaya,True,False,True,True,True,True,Ada,0,Rp1.250.000,6.0
-,+,Kost Griya Anugerah Wonocolo Surabaya,True,True,True,True,True,True,Ada,0,Rp1.000.000,7.0
-,+,Kost Jalan Siwalankerto Timur Wonocolo Surabaya,False,True,True,True,True,False,Ada,0,Rp1.150.000,5.0
-,+,Kost Budi Kurniawan Wonocolo Surabaya,True,False,True,True,True,True,Ada,0,Rp1.200.000,6.0
-,+,Kost Bu Harnik AC Jambangan Surabaya,False,True,False,False,True,True,Ada,0,Rp1.000.000,4.0
-,+,Kost O Tipe Budget Wonocolo Surabaya,False,True,True,True,True,True,Ada,0,Rp1.000.000,6.0
-,+,Kost Nyaman Kutisari Tenggilis Mejoyo Surabaya,False,True,True,True,True,True,Ada,0,Rp1.100.000,6.0
-,+,Kost Jack Tipe A Wonocolo Surabaya,False,True,True,False,True,False,Ada,0,Rp1.100.000,4.0
-,+,Kost B8 Tipe A Wonocolo Surabaya,False,True,True,True,True,True,Ada,0,Rp950.000,6.0
-,+,Kost Brotherhood Siwalankerto Surabaya,True,True,True,True,True,True,Ada,0,Rp1.050.000,7.0
-,+,Kost Stay Tipe C Waru Sidoarjo,False,True,True,True,True,False,Ada,0,Rp1.100.000,5.0
-,+,Kost Salma Aqilla Tipe A1 Wonocolo Surabaya,True,True,True,True,True,False,Ada,0,Rp1.000.000,6.0
-,+,Kost Cemerlang House 21 Tipe A Kutisari Selatan Surabaya,True,True,True,True,True,True,Ada,0,Rp1.100.000,7.0
-,+,Kost Cio Tenggilis Mejoyo Surabaya,True,True,True,True,True,True,Ada,0,Rp1.100.000,7.0
-,+,Kost D Blue Tipe A Gayungan Surabaya,False,False,True,False,True,True,Ada,0,Rp1.100.000,4.0
-,+,Kost Shafira 12 Siwalankerto Surabaya,True,True,True,True,True,True,Ada,0,Rp1.200.000,7.0
-,+,Kost Aasfa Regular Waru Sidoarjo,True,True,True,True,True,False,Ada,0,Rp1.200.000,6.0
-,-,Kost Raya 48 Tipe AC Tenggilis Mejoyo Surabaya,False,False,False,False,False,False,Ada,0,,0.0
-,-,Kost Pak Kusnanto Gayungan Surabaya,True,False,True,True,True,False,Ada,0,,4.0
-,-,Kost Omah Ijo Wonocolo Surabaya,True,False,True,True,True,True,Ada,0,,5.0
-,-,Kost Siwalan Kerto Permai Wonocolo Surabaya,True,True,True,True,True,True,Ada,0,,6.0
-,-,Kost Jl Bungurasih Dalam Tipe A Waru Sidoarjo,True,False,True,False,True,True,Penuh,0,,5.0
-,-,Kost Vip Gayungan Surabaya,True,True,True,True,True,True,Penuh,0,,7.0
-,-,Kost Kensa 1125 Tenggilis Mejoyo Surabaya,True,False,False,False,False,False,Penuh,0,,2.0
-,-,Kost Griya Raxel Kutisari Surabaya,True,True,True,True,True,True,Penuh,0,,7.0
-,-,Kost Ever Bright Tipe Standart 2 Wonocolo Surabaya,True,True,True,True,True,True,Penuh,0,,7.0
