Singgahsini,Kos Andalan,Name,K. Mandi Dalam,WiFi,AC,Kloset Duduk,Kasur,Akses 24 Jam,Availability,Rating,Price,Kost Raw Value
-,+,Kost Cozynest V Tipe A Gayungan Surabaya,True,True,True,True,True,True,Ada,0,Rp2.299.000,7.0
-,+,Kost Tanza House Tipe A Wonocolo Surabaya,True,True,True,True,True,True,Ada,0,Rp2.250.000,7.0
-,+,Kost Graha Petra Executive Wonocolo Surabaya,True,True,True,True,True,True,Ada,0,Rp2.500.000,7.0
-,-,Kost The Gayungsari Barat Gayungan Surabaya,True,True,True,True,True,False,Sisa 2 kamar,0,Rp2.500.000,5.0
-,+,Kost Eksklusif Kalysta Tipe B Wonocolo Surabaya,True,True,True,True,True,True,Ada,0,Rp2.250.000,7.0
-,-,Kost Siwalankerto AA 10 Tipe A Wonocolo Surabaya,True,True,True,True,True,True,Ada,0,Rp2.350.000,6.0
-,-,Kost Wins House Tipe A Tenggilis Mejoyo Surabaya,True,True,True,True,True,False,Sisa 1 kamar,0,Rp2.500.000,5.0
-,-,Kost Homestay Wira Samudra Tipe Executive Gayungan Surabaya,True,True,True,True,False,True,Ada,0,Rp2.250.000,5.0
-,-,Kost Green House Gayungan Surabaya,True,True,True,True,True,True,Ada,0,Rp2.500.000,6.0
-,-,Kost Wisma Menanggal Home Stay Gayungan Surabaya,True,True,True,True,True,True,Ada,0,Rp2.500.000,6.0
-,-,Kost Jl. Siwalankerto Petra Gayungan Surabaya,True,True,True,True,True,False,Sisa 1 kamar,0,Rp2.500.000,5.0
-,-,Kost Ahmad Yani Semampir Gayungan Surabaya,True,True,True,False,False,True,Ada,0,Rp2.500.000,4.0
-,+,Kost Amazing Zone Tipe C Wonocolo Surabaya,True,True,True,True,True,True,Penuh,0,Rp2.300.000,8.0
-,+,Kost Premium Graha Feliz Superior B Wonocolo Surabaya,True,True,True,True,True,True,Penuh,0,Rp2.500.000,8.0
-,+,Kost Premium Graha Feliz Superior A Wonocolo Surabaya,True,True,True,True,True,True,Penuh,0,Rp2.250.000,8.0
-,-,Kost Siwalankerto 1D No.114 Wonocolo Surabaya,True,True,True,False,False,True,Penuh,0,Rp2.300.000,5.0
-,-,Kost Arimbi Stay Gayungan Surabaya,True,True,True,False,False,True,Penuh,0,Rp2.500.000,5.0
-,-,Kost RR Tipe VIP Wonocolo Surabaya,True,True,True,True,True,False,Penuh,0,Rp2.500.000,6.0
-,-,Kost Assalam 1 VVIP Gayungan Surabaya,True,True,True,True,True,True,Penuh,0,Rp2.250.000,7.0
