Singgahsini,Kos Andalan,Name,K. Mandi Dalam,WiFi,AC,Kloset Duduk,Kasur,Akses 24 Jam,Availability,Rating,Price,Kost Raw Value
+,-,Kost Singgahsini UBAYA Si Mbok Tipe A Rungkut Surabaya,True,True,True,True,True,True,Ada,0,Rp1.395.800,7.0
+,-,Kost Singgahsini Q Tipe C Sidosermo Surabaya,True,True,True,True,True,True,Sisa 1 kamar,0,Rp1.625.000,7.0
-,+,Kost Jeehan Executive 1 Rungkut Surabaya,True,True,True,True,True,True,Ada,0,Rp1.750.000,7.0
-,+,Kost Bu Nisa Gunung Anyar Surabaya,True,True,False,True,False,False,Ada,0,Rp1.650.000,4.0
-,+,Kost Azalia 1 Gunung Anyar Surabaya,True,True,True,True,True,False,Ada,0,Rp1.500.000,6.0
-,+,Kost Ibu Monica Tenggilis Mejoyo Surabaya,True,True,True,True,True,True,Ada,0,Rp1.700.000,7.0
-,+,Kost Wisma Chelli Tipe A1 Gunung Anyar Surabaya,True,True,True,True,True,False,Ada,0,Rp1.500.000,6.0
-,+,Kost Griya Sejahtera Gunung Anyar Surabaya,True,True,True,True,True,True,Ada,0,Rp1.500.000,7.0
-,+,Kost Djunaedi Adiwidjya Tipe Normal Rungkut Surabaya,False,False,True,True,True,True,Ada,0,Rp1.500.000,5.0
-,+,Kost Kiera Tipe Standar Rungkut Surabaya,True,True,True,True,True,True,Ada,0,Rp1.500.000,7.0
-,+,Kost Wisma Chelli Tipe A Gunung Anyar Surabaya,False,True,False,True,True,False,Ada,0,Rp1.500.000,4.0
-,+,Kost Griya MERR Mezanin Deluxe Rungkut Surabaya,False,True,True,True,True,True,Ada,0,Rp1.750.000,6.0
-,+,Kost Abdillah Brianto Tipe A Gunung Anyar Surabaya,True,True,True,True,True,False,Ada,0,Rp1.500.000,6.0
-,+,Kost Muhtadi Rungkut Surabaya,True,True,True,True,True,True,Ada,0,Rp1.500.000,7.0
-,+,Kost Dede Tiga Puluh Tenggilis Mejoyo Surabaya,True,False,True,True,True,True,Ada,0,Rp1.500.000,6.0
-,+,Kost New Kosakata Executive Tenggilis Mejoyo Surabaya,True,True,True,False,True,False,Ada,0,Rp1.600.000,5.0
-,+,Kost Grand Bougenville Exclusive Rungkut Surabaya,True,True,True,True,True,True,Ada,0,Rp1.500.000,7.0
-,+,Kost Raden Bagus Firmansyah Pasca Pratama Tipe A Sukolilo Surabaya,True,True,True,True,True,True,Ada,0,Rp1.750.000,7.0
-,+,Kost Kita Residence Tipe A Rungkut Surabaya,True,True,True,True,True,True,Ada,0,Rp1.600.000,7.0
-,+,Kost Kita Residence Tipe B Rungkut Surabaya,True,True,True,True,True,True,Ada,0,Rp1.600.000,7.0
-,+,Kost Exclusive Graha Cipta Sidosermo Tipe A Wonocolo Surabaya,True,True,True,True,True,True,Ada,0,Rp1.502.500,7.0
-,+,Kost Kosayu Residence Rungkut Surabaya,True,True,True,True,True,True,Ada,0,Rp1.700.000,7.0
-,+,Kost Ubaya Rungkut Surabaya,True,True,True,True,True,True,Ada,0,Rp1.700.000,7.0
-,+,Kost Depan Ubaya Rungkut Surabaya,True,True,True,True,True,False,Ada,0,Rp1.700.000,6.0
-,+,Kost Abimanyu PDK Tipe B Wonocolo Surabaya,True,True,True,True,True,True,Ada,0,Rp1.700.000,7.0
-,+,Kost 415 Standart Tenggilis Mejoyo Surabaya,True,True,True,True,True,False,Ada,0,Rp1.500.000,6.0
-,+,Kost Exclusive Graha Cipta Sidosermo Tipe B Wonocolo Surabaya,True,True,True,True,True,True,Ada,0,Rp1.702.500,7.0
-,+,Kost 415 Standar Plus Tenggilis Mejoyo Surabaya,True,True,True,True,True,False,Ada,0,Rp1.650.000,6.0
-,+,Kost White House Tipe A Tenggilis Mejoyo Surabaya,True,True,True,True,True,False,Ada,0,,6.0
-,+,Kost Dream Huis Near UBAYA Rungkut Surabaya,True,True,True,False,True,True,Ada,0,,6.0
-,-,Kost 105 Merr Tipe D Rungkut Surabaya,True,False,False,False,False,True,Sisa 2 kamar,0,,2.0
-,-,Kost AI 19 Tipe C Rungkut Surabaya,False,True,True,False,True,True,Sisa 2 kamar,0,,4.0
-,+,Kost Purimas Regency Gunung Anyar Surabaya,True,True,True,True,True,False,Penuh,0,,7.0
-,-,Kost Home Tipe B Tenggilis Mejoyo Surabaya,True,True,True,True,True,True,Penuh,0,,7.0
-,-,Kost Muslimah Marina Sukolilo Surabaya,True,True,True,True,True,False,Penuh,0,,6.0
-,-,Kost Tenggilis Mejoyo ll Utara Tipe A Tenggilis Mejoyo Surabaya,True,True,True,True,True,False,Penuh,0,,6.0
