Singgahsini,Kos Andalan,Name,K. Mandi Dalam,WiFi,AC,Kloset Duduk,Kasur,Akses 24 Jam,Availability,Rating,Price,Kost Raw Value
+,-,Kost Singgahsini UBAYA Si Mbok Tipe B Rungkut Surabaya,True,True,True,True,True,True,Sisa 1 kamar,0,Rp1.993.800,7.0
+,-,Kost Singgahsini Q Tipe A Sidosermo Surabaya,True,True,True,True,True,True,Sisa 1 kamar,0,Rp2.025.000,7.0
-,+,Kost Residence Tipe A Tenggilis Mejoyo Surabaya,True,True,True,True,True,True,Ada,0,Rp2.200.000,7.0
-,+,Kost Rumentara Af6 Rungkut Surabaya,True,True,True,True,True,False,Ada,0,Rp2.000.000,6.0
-,+,Kost Jeehan Executive Rungkut Surabaya,True,True,True,True,True,True,Ada,0,Rp2.000.000,7.0
-,+,Kost Rumah Bunda Fatimah Exclusive Rungkut Surabaya,True,True,True,True,True,True,Ada,0,Rp2.000.000,7.0
-,+,Kost Tentram Kutisari Tenggilis Mejoyo Surabaya,True,True,True,True,True,True,Ada,0,Rp2.000.000,7.0
-,+,Kost Perum Tenggilis Tengah Tenggilis Mejoyo Surabaya,True,True,True,True,True,True,Ada,0,Rp2.000.000,7.0
-,+,Kost Kampus Ubaya VIP 2 Rungkut Surabaya,True,True,True,True,True,True,Ada,0,Rp2.200.000,7.0
-,+,Kost Bu Hartini Tipe Executive Rungkut Surabaya,True,True,True,False,True,False,Ada,0,Rp2.000.000,5.0
-,+,Kost Tentoo Stay Rungkut Surabaya,True,True,True,False,False,True,Ada,0,Rp2.000.000,5.0
-,+,Kost Nyoman Tipe Standar Rungkut Surabaya,True,True,True,True,True,True,Ada,0,Rp2.000.000,7.0
-,+,Kost Nginden Intan Tipe Executive Sukolilo Surabaya,True,True,True,True,True,True,Ada,0,Rp2.200.000,7.0
-,+,Kost Nginden Intan Tipe Vip Sukolilo Surabaya,True,True,True,True,True,True,Ada,0,Rp2.200.000,7.0
-,-,Kost Sila House Tipe B Tenggilis Mejoyo Surabaya,True,True,True,True,True,True,Sisa 1 kamar,0,Rp2.200.000,6.0
-,-,Kost Sila House Tipe C Tenggilis Mejoyo Surabaya,True,True,True,True,True,True,Sisa 1 kamar,0,Rp2.000.000,6.0
-,-,Kost Griya Nina Syariah Executive AC Lt 3 Gunung Anyar Surabaya,True,True,True,True,True,True,Sisa 3 kamar,0,Rp2.000.000,6.0
-,-,Kost Griya Nina Syariah Executive AC Lt 2 Gunung Anyar Surabaya,True,True,True,True,True,True,Sisa 3 kamar,0,Rp2.000.000,6.0
-,-,Kost Yellow Tipe C Gunung Anyar Surabaya,True,True,True,True,True,True,Sisa 2 kamar,0,Rp2.000.000,6.0
-,-,Kost Kostel Residence Deluxe Room Rungkut Surabaya,True,True,True,True,True,False,Sisa 1 kamar,0,Rp2.100.000,5.0
-,-,Kost Residence VIP Rungkut Surabaya,True,True,True,True,True,False,Sisa 1 kamar,0,Rp2.100.000,5.0
-,-,Kost Smile Residence Tipe B Tenggilis Mejoyo Surabaya,True,True,True,True,True,False,Sisa 1 kamar,0,Rp2.100.000,5.0
-,-,Kost Smile Residence Tipe A Tenggilis Mejoyo Surabaya,True,True,True,True,True,False,Sisa 1 kamar,0,Rp2.000.000,5.0
-,-,Kost Sq Rungkut Surabaya,False,False,True,True,True,True,Sisa 2 kamar,0,Rp2.000.000,4.0
-,-,Kost Nawangsari Executive Tenggilis Mejoyo Surabaya,False,True,True,True,True,True,Ada,0,Rp2.000.000,5.0
-,-,Kost Chamine Tipe A Gunung Anyar Surabaya,False,True,True,True,True,False,Ada,0,Rp2.200.000,4.0
-,-,Rumah Kontrakan Kyai Satari Gunung Anyar Surabaya,False,False,False,False,False,False,Sisa 1 kamar,0,Rp2.000.000,0.0
-,-,Kost Home Tipe Vip Tenggilis Mejoyo Surabaya,False,True,True,True,True,True,Sisa 2 kamar,0,Rp1.850.000,5.0
-,-,Kost Putra KK 8 Tipe 2 Rungkut Surabaya,False,False,False,False,False,False,,0,,0.0
