Singgahsini,Kos Andalan,Name,K. Mandi Dalam,WiFi,AC,Kloset Duduk,Kasur,Akses 24 Jam,Availability,Rating,Price,Kost Raw Value
-,+,Kost Rungkut Mejoyo Selatan W 24 Rungkut Surabaya,True,True,True,True,True,True,Ada,0,Rp1.200.000,7.0
-,+,Kost Ceria Residence Rungkut Surabaya,False,True,True,False,True,False,Ada,0,Rp1.200.000,4.0
-,+,Kost Raya Tenggilis Mejoyo Rungkut Surabaya,True,False,True,True,False,True,Ada,0,Rp1.200.000,5.0
-,+,Kost Raya Tenggilis Mejoyo AI Rungkut Surabaya,False,True,True,False,True,True,Ada,0,Rp1.100.000,5.0
-,+,Kost Herman Tipe G Wonocolo Surabaya,True,True,True,True,True,True,Ada,0,Rp1.250.000,7.0
-,+,Kost Rms R9 Rungkut Surabaya,False,True,True,True,True,True,Ada,0,Rp1.100.000,6.0
-,+,Kost Jack And Jill Executive Rungkut Surabaya,True,True,True,True,True,False,Ada,0,Rp1.250.000,6.0
-,+,Kost Jack and Jill Tipe Executive Tenggilis Mejoyo Surabaya,True,True,True,True,True,True,Ada,0,Rp1.250.000,7.0
-,+,Kost Griya Semampir Tipe D Sukolilo Surabaya,True,True,True,True,True,False,Ada,0,Rp1.150.000,6.0
-,+,Kost Rungkut Mejoyo Selatan X No 26 Tipe A Rungkut Surabaya,False,True,True,True,True,True,Ada,0,Rp1.100.000,6.0
-,+,Kost Griya Semampir Tipe B Sukolilo Surabaya,True,True,True,True,True,False,Ada,0,Rp1.150.000,6.0
-,+,Kost Griya Semampir Tipe C Sukolilo Surabaya,True,True,True,True,True,False,Ada,0,Rp1.150.000,6.0
-,+,Kost Griya Semampir Tipe A Sukolilo Surabaya,True,True,True,True,True,False,Ada,0,Rp1.150.000,6.0
-,+,Kost Wonderland Tenggilis Mejoyo Surabaya,False,True,True,True,True,False,Ada,0,Rp1.000.000,5.0
-,+,Kost Eksekutif Rungkut Surabaya,True,True,True,True,True,True,Ada,0,Rp1.200.000,7.0
-,+,Kost Nyaman Kutisari Tenggilis Mejoyo Surabaya,False,True,True,True,True,True,Ada,0,Rp1.100.000,6.0
-,+,Kost Mas Bro I Tipe B Tenggilis Mejoyo Surabaya,False,True,True,True,True,True,Ada,0,Rp1.200.000,6.0
-,+,Kost Beliza Waru Sidoarjo,True,True,True,True,True,False,Ada,0,Rp1.250.000,6.0
-,+,Kost Bubudi Tipe D Rungkut Surabaya,False,True,True,True,True,False,Ada,0,Rp1.250.000,5.0
-,+,Kost Bu Sutik Gunung Anyar Surabaya,True,True,False,False,True,False,Ada,0,Rp1.200.000,4.0
-,+,Kost Kutisari Indah Tipe X Tenggilis Mejoyo Surabaya,True,False,True,True,True,True,Ada,0,Rp1.000.000,6.0
-,+,Kost AE 34 Rungkut Surabaya,False,True,True,True,True,False,Ada,0,Rp1.200.000,5.0
-,+,Kost Q Jaya Tipe A Rungkut Surabaya,True,True,True,True,True,False,Ada,0,Rp1.200.000,6.0
-,+,Kost Rocket Executive Tenggilis Mejoyo Surabaya,False,False,True,False,True,True,Ada,0,Rp1.000.000,4.0
-,+,Kost Semampir 37 Tipe A Sukolilo Surabaya,True,True,True,True,True,True,Ada,0,Rp1.000.000,7.0
-,+,Kost Nirwana Prinitasari Tipe A Rungkut Surabaya,False,True,True,True,True,True,Ada,0,Rp1.000.000,6.0
-,+,Kost Raya 48 Tipe AC Tenggilis Mejoyo Surabaya,True,True,True,True,True,False,Ada,0,Rp1.000.000,6.0
-,+,Kost Sidosermo 1 Wonocolo Surabaya,True,False,False,False,True,True,Ada,0,Rp1.000.000,4.0
-,-,Kost Gaia 2 Rungkut Surabaya,False,False,False,False,False,False,Ada,0,,0.0
-,-,Kost Mustiko Tenggilis Mejoyo Surabaya,False,True,True,False,True,False,Sisa 2 kamar,0,,3.0
-,-,Kost KK 8 Tipe 12 Rungkut Surabaya,False,True,True,True,True,False,Sisa 2 kamar,0,,4.0
-,-,Kost Brian Tipe A Rungkut Surabaya,False,True,True,False,True,True,Ada,0,,4.0
-,-,Kost Munayya Rungkut Surabaya,False,True,True,True,True,False,Ada,0,,4.0
-,+,Kost Novan G1 Tenggilis Mejoyo Surabaya,True,True,True,True,True,True,Penuh,0,,8.0
-,-,Kost Keluarga Merr Stikom Sukolilo Surabaya,True,False,True,True,True,False,Penuh,0,,5.0
-,-,Kost Hana 15 A Tipe A Tenggilis Mejoyo Surabaya,True,True,False,True,True,True,Penuh,0,,6.0
-,-,Kost K13 Tipe A Sukolilo Surabaya,False,True,True,True,True,True,Penuh,0,,6.0
-,-,Kost Kania 1 Tipe A Gunung Anyar Surabaya,True,True,True,False,True,False,Penuh,0,,5.0
