Singgahsini,Kos Andalan,Name,K. Mandi Dalam,WiFi,AC,Kloset Duduk,Kasur,Akses 24 Jam,Availability,Rating,Price,Kost Raw Value
-,+,Kost Sidosermo Indah Residence Wonocolo Surabaya,True,True,True,True,True,True,Ada,0,Rp2.500.000,7.0
-,+,Kost Rancak Residence Executive Tenggilis Mejoyo Surabaya,True,True,True,True,True,True,Ada,0,Rp2.500.000,7.0
-,+,Kost Semolowaru Timur Eksklusif VVIP Sukolilo Surabaya,True,True,True,True,True,True,Ada,0,Rp2.300.000,7.0
-,+,Kost Jeehan VIP Rungkut Surabaya,True,True,True,True,True,True,Ada,0,Rp2.500.000,7.0
-,+,Kost Syariah Danisa Tipe Executive Sukolilo Surabaya,True,True,True,True,True,True,Ada,0,Rp2.300.000,7.0
-,-,Kost 77 Tipe Standart Tenggilis Mejoyo Surabaya,True,True,True,True,True,False,Ada,0,Rp2.500.000,5.0
-,-,Kost De Inn Rungkut Premium Gunung Anyar Surabaya,True,True,True,False,False,True,Ada,0,Rp2.500.000,4.0
-,-,Kost Yellow Tipe D Gunung Anyar Surabaya,True,True,True,True,True,True,Sisa 1 kamar,0,Rp2.500.000,6.0
-,-,Kost KK 8 Tipe A Rungkut Surabaya,True,True,True,True,True,False,Sisa 3 kamar,0,Rp2.500.000,5.0
-,-,Kost Ikeido Executive Sukolilo Surabaya,True,True,True,True,True,True,Sisa 1 kamar,0,Rp2.500.000,6.0
-,-,Kost AN4 Tenggilis Mejoyo Tipe Vip Rungkut Surabaya,True,True,True,True,True,True,Sisa 1 kamar,0,Rp2.500.000,6.0
-,-,Kost Premium Nadia Tenggilis Mejoyo Surabaya,True,True,True,False,False,True,Ada,0,Rp2.300.000,4.0
-,+,Kost Didik Santoso Executive Room Rungkut Surabaya,True,True,True,True,False,True,Penuh,0,Rp2.354.000,7.0
-,+,Kost Eksklusif Kosayu Residence Rungkut Surabaya,True,True,True,True,True,True,Penuh,0,Rp2.500.000,8.0
-,+,Kost Nyoman Superior Rungkut Surabaya,True,True,True,True,True,True,Penuh,0,Rp2.500.000,8.0
-,-,Kost AJS House Tenggilis Mejoyo Surabaya,True,True,True,True,True,True,Penuh,0,Rp2.250.000,7.0
-,-,Kost Sila House Tipe A Tenggilis Mejoyo Surabaya,False,True,True,True,True,True,Penuh,0,Rp2.300.000,6.0
-,-,Kost Muslimah KDR ExecutiveTipe Rungkut Surabaya,True,True,True,True,True,True,Penuh,0,Rp2.500.000,7.0
-,-,Rumah Kontrakan Keido Tipe Executive Sukolilo,False,True,True,True,True,False,Penuh,0,Rp2.500.000,5.0
-,-,Kost Menara Rungkut Gunung Anyar Surabaya,True,True,True,False,False,True,Penuh,0,Rp2.500.000,5.0
