Singgahsini,Kos Andalan,Name,K. Mandi Dalam,WiFi,AC,Kloset Duduk,Kasur,Akses 24 Jam,Availability,Rating,Price,Kost Raw Value
+,-,Kost Singgahsini Rungkut Asri Utara XI Tipe C Rungkut Surabaya,False,True,False,True,True,True,Sisa 2 kamar,0,Rp880.000,5.0
-,+,Kost Hub B1 Rungkut Surabaya,False,True,False,True,True,True,Ada,0,Rp900.000,5.0
-,+,Kost Dekat UPN Tipe A Gunung Anyar Surabaya,False,True,False,True,True,True,Ada,0,Rp800.000,5.0
-,+,Kost Amore Tipe A Tenggilis Mejoyo Surabaya,False,True,False,True,True,False,Ada,0,Rp950.000,4.0
-,+,Kost Semolowaru Timur Gg XI Tipe A Sukolilo Surabaya,False,True,False,False,True,True,Ada,0,Rp950.000,4.0
-,+,Kost Bu Nita Upn Tipe Executive Rungkut Surabaya,False,True,False,True,True,True,Ada,0,Rp900.000,5.0
-,+,Kost Rungkut Mejoyo Selatan X No.26 Tipe B Rungkut Surabaya,False,True,False,True,True,True,Ada,0,Rp850.000,5.0
-,+,Kost Pelangi Rungkut Surabaya,False,True,False,True,True,True,Ada,0,Rp915.000,5.0
-,+,Kost Hananny Tipe A Rungkut Surabaya,False,True,False,True,True,True,Ada,0,Rp850.000,5.0
-,+,Kost Wonderland Tenggilis Mejoyo Surabaya,False,True,True,True,True,False,Ada,0,Rp1.000.000,5.0
-,+,Kost Pelangi Non AC Ergo Standard Rungkut Surabaya,False,True,False,True,True,True,Ada,0,Rp885.000,5.0
-,+,Kost Kutisari Indah Tipe X Tenggilis Mejoyo Surabaya,True,False,True,True,True,True,Ada,0,Rp1.000.000,6.0
-,+,Kost Kampus Ubaya Non AC Rungkut Surabaya,False,True,False,True,True,True,Ada,0,Rp915.000,5.0
-,+,Kost Pelangi Tenggilis Standard Non AC Rungkut Surabaya,False,True,False,True,True,True,Ada,0,Rp915.000,5.0
-,+,Kost Kiu Tenggilis Mejoyo Surabaya,False,True,True,True,True,True,Ada,0,Rp850.000,6.0
-,+,Kost Kendalsari Rungkut Surabaya,True,True,False,True,True,True,Ada,0,Rp850.000,6.0
-,+,Kost Semampir 37 Tipe A Sukolilo Surabaya,True,True,True,True,True,True,Ada,0,Rp1.000.000,7.0
-,+,Kost Nirwana Prinitasari Tipe A Rungkut Surabaya,False,True,True,True,True,True,Ada,0,Rp1.000.000,6.0
-,+,Kost Bu Imam Mejoyo Rungkut Surabaya,True,False,False,False,True,True,Ada,0,Rp808.000,4.0
-,+,Kost Raya 48 Tipe AC Tenggilis Mejoyo Surabaya,True,True,True,True,True,False,Ada,0,Rp1.000.000,6.0
-,+,Kost Sidosermo 1 Wonocolo Surabaya,True,False,False,False,True,True,Ada,0,Rp1.000.000,4.0
-,+,Kost Mejoyo Rungkut Surabaya,True,True,True,True,True,True,Ada,0,Rp1.000.000,7.0
-,+,Kost Semampir 89 Tipe B Sukolilo Surabaya,False,True,True,False,True,False,Ada,0,Rp802.001,4.0
-,+,Kost Sidosermo Wonocolo Surabaya,True,False,False,True,True,True,Ada,0,Rp1.000.000,5.0
-,-,Kost Intan Sukolilo Surabaya,True,True,True,True,True,False,Ada,0,Rp900.000,5.0
-,-,Kost 147 Merr Tipe Single Plus Rungkut Surabaya,True,True,False,False,True,True,Sisa 1 kamar,0,Rp865.000,4.0
-,-,Kost Rany Tipe A Rungkut Surabaya,False,True,False,True,True,True,Sisa 1 kamar,0,Rp900.000,4.0
-,-,Kost Ubaya AH1 Non Ac Tenggilis Mejoyo Surabaya,False,True,False,True,True,False,Sisa 3 kamar,0,Rp950.000,3.0
-,-,Kost Wisma Ady Tipe Non AC Gunung Anyar Surabaya,False,False,False,False,False,False,Ada,0,,0.0
-,-,Kost Penjaringan Tipe AB Rungkut Surabaya,False,True,False,True,True,False,Sisa 1 kamar,0,,3.0
-,-,Kost Hidayat Tenggilis Mejoyo Surabaya,False,True,True,True,True,True,Ada,0,,5.0
-,-,Kost Adani Tenggilis Mejoyo Surabaya,True,False,False,False,False,False,Sisa 1 kamar,0,,1.0
-,-,Kost Sepuluh A Tipe VIP Wonocolo Surabaya,False,False,False,False,False,True,Sisa 2 kamar,0,,1.0
-,-,KosT BB-12 Tenggilis Mejoyo Surabaya,False,False,True,True,True,True,Ada,0,,4.0
-,-,Kost Eksklusif Sukolilo Surabaya,True,True,False,False,False,False,Penuh,0,,3.0
-,+,Kost Ak 1 Tipe A Rungkut Surabaya,False,True,False,True,True,False,Penuh,0,,5.0
-,-,Kost House of Sasha Sukolilo Surabaya,True,True,True,True,True,False,Penuh,0,,6.0
-,-,Kost AtharRayyan Tipe A Sukolilo Surabaya,False,True,True,True,True,True,Penuh,0,,6.0
-,-,Kost Mbak Shifa Gunung Anyar Surabaya,False,True,False,False,True,False,Penuh,0,,3.0
-,-,Kost Srikandi Tipe A Gunung Anyar Surabaya,True,True,False,False,True,True,Penuh,0,,5.0
