Singgahsini,Kos Andalan,Name,K. Mandi Dalam,WiFi,AC,Kloset Duduk,Kasur,Akses 24 Jam,Availability,Rating,Price,Kost Raw Value
-,+,Kost Kedungdoro Tipe B Sawahan Surabaya,True,True,False,False,True,True,Ada,0,Rp900.000,5.0
-,+,Kost Nias 20 Gubeng Surabaya,True,False,True,True,True,True,Ada,0,Rp1.000.000,6.0
-,+,Kost Miky Non AC Gubeng Surabaya,False,True,False,True,True,True,Ada,0,Rp900.000,5.0
-,+,Kost Ayatul Muslimah Tipe B Gubeng Surabaya,False,True,False,False,True,True,Ada,0,Rp800.000,4.0
-,+,Kost 7B Tipe B Gubeng Surabaya,False,True,False,True,True,True,Ada,0,Rp900.000,5.0
-,+,Kost D & D Tipe A Tegalsari Surabaya,False,False,False,True,True,False,Ada,0,Rp800.000,3.0
-,+,Kost Berkah Tipe AC Genteng Surabaya,False,True,True,True,True,True,Ada,0,Rp800.000,6.0
-,+,Kost Ngemplak 18 Tipe AC Genteng Surabaya,False,True,True,False,True,True,Ada,0,Rp1.000.000,5.0
-,+,Kost Hari Kedungklinter Tegalsari Surabaya,True,False,False,False,True,True,Ada,0,Rp860.000,4.0
-,+,Kost Istana Tipe Standard Bubutan Surabaya,False,True,False,True,True,True,Ada,0,Rp800.000,5.0
-,+,Kost Fia Tipe AC Gubeng Surabaya,False,False,True,False,True,True,Ada,0,Rp1.000.000,4.0
-,+,Kost Fei Sawahan Surabaya,True,True,False,True,True,False,Ada,0,Rp850.000,5.0
-,+,Kost Chilli Tipe B Sawahan Surabaya,False,False,True,True,True,True,Ada,0,Rp1.000.000,5.0
-,+,Kost An Nisa Tipe B Gubeng Surabaya,False,True,False,True,True,True,Ada,0,Rp850.000,5.0
-,+,Kost Dharmawangsha Tipe B Gubeng Surabaya,False,True,False,False,True,True,Ada,0,Rp800.000,4.0
-,+,Kost Omah Arjuno 1 Tipe Regular lt2 Sawahan Surabaya,False,True,False,True,True,True,Ada,0,Rp1.000.000,5.0
-,+,Kost Al Makmur Tipe B Gubeng Surabaya,True,True,False,False,True,True,Ada,0,Rp900.000,5.0
-,+,Kost Dharmawangsha Tipe A Gubeng Surabaya,True,True,False,False,True,True,Ada,0,Rp800.000,5.0
-,+,Kost Chotidjah Tambaksari Surabaya,True,False,False,True,True,False,Ada,0,Rp850.000,4.0
-,+,Kost Susi 2 Tipe B Bubutan Surabaya,False,False,False,True,True,False,Ada,0,Rp800.000,3.0
-,+,Kost Tambak Windu 68 Simokerto Surabaya,False,True,False,False,True,False,Ada,0,Rp850.000,3.0
-,+,Kost Griya Dharmawangsha Tipe A Gubeng Surabaya,False,True,False,False,True,True,Ada,0,Rp800.000,4.0
-,+,Kost Petemon 1 Tipe C Sawahan Surabaya,False,False,True,True,True,False,Ada,0,Rp1.000.000,4.0
-,+,Kost Amanda Tipe A Tegalsari Surabaya,True,False,False,True,True,True,Ada,0,Rp850.000,5.0
-,-,Kost Wan's Tipe A Genteng Surabaya,True,True,False,False,True,True,Sisa 1 kamar,0,Rp900.000,4.0
-,-,Kost Wan's Tipe B Genteng Surabaya,False,False,False,False,False,False,Sisa 3 kamar,0,Rp800.000,0.0
-,-,Kost Pintu Merah Tipe B Gubeng Surabaya,False,True,False,False,True,False,Sisa 1 kamar,0,Rp850.000,2.0
-,+,Kost Petemon 1 Tipe B Sawahan Surabaya,False,False,True,True,True,False,Ada,0,Rp900.000,4.0
-,-,Kost As Sakinah Tipe A Gubeng Surabaya,False,True,False,False,True,True,,0,,3.0
-,+,Kost Farhan Tipe D Tegalsari Surabaya,True,False,False,False,True,True,Ada,0,,4.0
-,-,Kost Rdamai Tipe Non AC Sawahan Surabaya,False,False,False,True,True,False,Sisa 2 kamar,0,,2.0
-,-,Kost Teman Muslim Tegalsari Surabaya,False,False,False,True,True,False,Sisa 1 kamar,0,,2.0
-,-,Kost Ambengan Tipe A Tambaksari Surabaya,True,True,False,True,True,False,Penuh,0,,5.0
-,-,Kost Nutrindo Tipe Standard Simokerto Surabaya,False,True,True,True,True,True,Penuh,0,,6.0
-,-,Kost Koe Tipe Biasa Genteng Surabaya,False,False,True,True,True,True,Penuh,0,,5.0
-,-,Kost Koe Tipe Executive Genteng Surabaya,False,False,False,True,True,True,Penuh,0,,4.0
-,-,Kost Anggrekk Gubeng Surabaya,False,True,False,False,True,False,Penuh,0,,3.0
-,-,Kost Berkah 2 Tipe B Gubeng Surabaya,False,True,False,False,True,True,Penuh,0,,4.0
