Singgahsini,Kos Andalan,Name,K. Mandi Dalam,WiFi,AC,Kloset Duduk,Kasur,Akses 24 Jam,Availability,Rating,Price,Kost Raw Value
-,+,Kost Kedungdoro Tipe C Sawahan Surabaya,False,False,False,True,True,True,Ada,0,Rp500.000,4.0
-,+,Kost Mahmudah Tipe A Pabean Cantikan Surabaya,False,True,False,False,True,True,Ada,0,Rp550.000,4.0
-,+,Kost Tino Galih Perdana Tipe A Tambaksari Surabaya,False,True,False,True,True,True,Ada,0,Rp530.000,5.0
-,+,Kost Ngemplak 18 Tipe A Genteng Surabaya,False,True,False,False,True,True,Ada,0,Rp600.000,4.0
-,+,Kost KHS Tipe A Krembangan Surabaya,False,False,False,False,True,True,Ada,0,Rp420.000,3.0
-,+,Kost Dua Tegalsari Surabaya,False,False,False,False,True,True,Ada,0,Rp600.000,3.0
-,+,Kost Bapak Kusnan 4 Gubeng Surabaya,False,True,False,True,True,True,Ada,0,Rp450.000,5.0
-,+,Kost Bapak Kusnan Tipe A Gubeng Surabaya,False,True,False,True,True,True,Ada,0,Rp550.000,5.0
-,+,Kost Bapak Roni Tambaksari Surabaya,False,True,False,False,True,False,Ada,0,Rp600.000,3.0
-,+,Kost Dharma Seven Standard Gubeng Surabaya,False,True,False,False,True,False,Ada,0,Rp550.000,3.0
-,+,Kost Bu Lina Madjid Genteng Surabaya,False,False,False,False,True,True,Ada,0,Rp600.000,3.0
-,+,Kost Rafif Tipe B Bubutan Surabaya,True,False,False,False,True,True,Ada,0,Rp600.000,4.0
-,+,Kost Bu Sugeng Gubeng Surabaya,False,False,False,True,True,False,Ada,0,Rp600.000,3.0
-,+,Kost Kalpom 97 Tegalsari Surabaya,False,False,False,False,True,True,Ada,0,Rp450.000,3.0
-,+,Kost Idola Tipe A Krembangan Surabaya,False,True,False,False,True,True,Ada,0,Rp400.000,4.0
-,+,Kost Fadila Genteng Surabaya,False,False,False,False,True,True,Ada,0,Rp500.000,3.0
-,+,Kost Bu Najiyah Tegalsari Surabaya,False,False,False,False,True,True,Ada,0,Rp450.000,3.0
-,+,Kost Bu Diah Gubeng Surabaya,False,True,False,False,True,True,Ada,0,Rp500.000,4.0
-,+,Kost Bu Anik Type A Gubeng Surabaya,False,True,False,False,True,True,Ada,0,Rp500.000,4.0
-,+,Kost Bapak Kusnan 2 Tipe A Gubeng Surabaya,False,False,False,False,True,True,Ada,0,Rp450.000,3.0
-,-,Kost Bu Ida Kertajaya Tipe B Gubeng Surabaya,False,True,False,False,True,True,Sisa 2 kamar,0,Rp600.000,3.0
-,+,Kost Rafif Tipe A Krembangan Surabaya,False,False,False,False,True,True,Ada,0,Rp550.000,3.0
-,+,Kost Ibu Herry Genteng Surabaya,False,True,False,True,True,True,Ada,0,Rp500.000,5.0
-,+,Kost KHS Tipe B Krembangan Surabaya,False,False,False,False,True,True,Ada,0,Rp420.000,3.0
-,+,Kost Evianie 21 Tegalsari Surabaya,False,False,False,False,True,True,Ada,0,Rp600.000,3.0
-,-,Kost Alvaro Gubeng Surabaya,False,False,False,False,True,False,Sisa 1 kamar,0,Rp600.000,1.0
-,-,Kost Emak Sawahan Surabaya,True,False,False,False,True,True,Sisa 1 kamar,0,Rp600.000,3.0
-,+,Kost Hera Petemon II Sawahan Surabaya,False,True,False,False,True,False,Ada,0,Rp550.000,3.0
-,-,Kost Bu Endang 1 Tipe Single Gubeng Surabaya,False,False,False,False,True,True,Sisa 2 kamar,0,Rp600.000,2.0
-,-,Kost Siti Rochanah Tipe A Genteng Surabaya,False,True,False,False,True,True,Ada,0,Rp500.000,3.0
-,-,Kost Mas Samuel Tipe A Gubeng Surabaya,False,True,False,False,True,True,Sisa 2 kamar,0,Rp600.000,3.0
-,-,Kost Gemblongan Bubutan Surabaya,False,False,False,False,True,False,Sisa 2 kamar,0,Rp500.000,1.0
-,+,Kost Gembong Genteng Surabaya,False,False,False,False,True,True,Ada,0,Rp500.000,3.0
-,-,Kost Bu Tatuk Genteng Surabaya,False,False,False,False,True,False,Sisa 1 kamar,0,,1.0
-,-,Kost Griya Mataraman Asri Tegalsari Surabaya,False,False,False,False,False,True,Sisa 3 kamar,0,,1.0
-,-,Kost Kedung Rukem 3 Tipe A Tegalsari Surabaya,False,False,False,False,True,False,Penuh,0,,2.0
-,-,Kost Bu Yuniarta Golma Tipe A Gubeng Surabaya,False,False,False,False,True,True,Penuh,0,,3.0
-,-,Kost Wonorejo IV Tegalsari Surabaya,False,False,False,True,True,False,Penuh,0,,3.0
-,-,Kost Barokah Type B Gubeng Surabaya,False,True,False,False,True,True,Penuh,0,,4.0
-,-,Kost Ibu Alfia Genteng Surabaya,False,False,False,True,True,True,Penuh,0,,4.0
-,-,Kost 27 Genteng Surabaya,False,True,False,False,True,True,Penuh,0,,4.0
-,-,Kost Gubeng Kertajaya Tipe A Gubeng Kertajaya,False,False,False,False,True,False,Penuh,0,,2.0
