Singgahsini,Kos Andalan,Name,K. Mandi Dalam,WiFi,AC,Kloset Duduk,Kasur,Akses 24 Jam,Availability,Rating,Price,Kost Raw Value
-,+,Kost Omah Kami Genteng Surabaya,True,True,True,True,True,True,Ada,0,Rp2.200.000,7.0
-,+,Kost Istana Tipe VIP1 Bubutan Surabaya,True,True,True,True,True,True,Ada,0,Rp2.000.000,7.0
-,+,Kost Only Seven 1 Tipe Standard Sawahan Surabaya,False,True,True,True,True,True,Ada,0,Rp2.000.000,6.0
-,+,Kost Only Seven Tipe D Sawahan Surabaya,True,True,True,True,True,True,Ada,0,Rp2.000.000,7.0
-,+,Kost Jalan Bromo Tipe E Sawahan Surabaya,True,True,True,True,True,True,Ada,0,Rp2.000.000,7.0
-,+,Kost Timothy Home Gubeng Surabaya,True,True,True,True,True,True,Ada,0,Rp2.000.000,7.0
-,+,Kost Only Seven Tipe C Sawahan Surabaya,True,True,True,True,True,True,Ada,0,Rp2.250.000,7.0
-,+,Kost Only Seven Standard Sawahan Surabaya,False,True,True,True,True,True,Ada,0,Rp2.100.000,6.0
-,+,Kost Jimerto 11 Genteng Surabaya,True,True,True,True,True,False,Ada,0,Rp2.000.000,6.0
-,+,Kost Bless 37 Tipe Vip Genteng Surabaya,True,True,True,True,True,False,Ada,0,Rp2.000.000,6.0
-,-,Kost Bu Tjan Sidoluhur 31 Tipe A Krembangan Surabaya,True,True,True,True,True,True,Ada,0,Rp2.000.000,6.0
-,-,Rumah Kontrakan Airlangga Gubeng Surabaya,True,False,False,False,False,True,Sisa 1 kamar,0,Rp2.100.000,2.0
-,-,Kost Tirto Tipe A Tegalsari Surabaya,False,False,True,False,True,True,Sisa 1 kamar,0,Rp2.000.000,3.0
-,-,Kost Area Pusat Tegalsari Surabaya,True,False,False,True,False,True,Sisa 1 kamar,0,Rp2.250.000,3.0
-,-,Kost Kawatan IV Bubutan Surabaya,False,False,False,True,True,True,Sisa 2 kamar,0,Rp2.000.000,3.0
-,-,Kost Harian Qodri Tipe B Gubeng Surabaya,False,False,False,False,True,True,Sisa 1 kamar,0,Rp2.250.000,2.0
-,-,Kost Tambah Bening 5 Tipe C Simokerto Surabaya,True,True,True,True,True,True,Sisa 2 kamar,0,Rp2.200.000,6.0
-,-,Kost Tambah Bening 5 Simokerto Surabaya,True,True,True,True,True,False,Sisa 1 kamar,0,Rp2.000.000,5.0
-,+,Kost 118 Tipe A Tegalsari Surabaya,True,False,True,True,True,True,Penuh,0,Rp2.000.000,7.0
-,+,Kost 7B Tipe D Gubeng Surabaya,True,True,True,True,True,True,Penuh,0,Rp2.000.000,8.0
-,+,Kost Syariah Tipe B Bubutan Surabaya,True,True,True,True,True,True,Penuh,0,Rp2.000.000,8.0
-,+,Kost Soraya Hasan Syihab Premium Genteng Surabaya,True,True,True,True,True,True,Penuh,0,Rp2.000.000,8.0
-,-,Kost Harvest Tegalsari Surabaya,True,True,True,True,True,True,Penuh,0,Rp2.100.000,7.0
-,-,Kost Dikosan Executive Genteng Surabaya,True,True,True,True,True,True,Penuh,0,Rp1.500.000,7.0
-,-,Kost Omah Betah Gubeng Surabaya,True,True,True,True,True,True,Penuh,0,Rp2.000.000,7.0
-,-,Kost Jagalan 64 Pabean Cantian Surabaya,True,True,True,True,True,False,Penuh,0,Rp2.000.000,6.0
-,-,Kost Galaxy Biliton Gubeng Surabaya,True,True,True,True,True,True,Penuh,0,Rp2.000.000,7.0
-,-,Kost MBC Guesthouse Studio Tambaksari Surabaya,True,True,True,True,True,False,Penuh,0,Rp2.100.000,6.0
-,-,Kost Pelita Krembangan Surabaya,True,True,True,True,True,True,Penuh,0,Rp2.000.000,7.0
-,-,Kost Rumah Senyum Tipe A Gubeng Surabaya,True,True,True,True,True,True,Penuh,0,Rp2.000.000,7.0
-,-,Kost Zalfa Syariah Genteng Surabaya,False,False,False,False,False,False,Penuh,0,,1.0
