Singgahsini,Kos Andalan,Name,K. Mandi Dalam,WiFi,AC,Kloset Duduk,Kasur,Akses 24 Jam,Availability,Rating,Price,Kost Raw Value
-,+,Kost Only Seven Tipe E Sawahan Surabaya,True,True,True,True,True,True,Ada,0,Rp3.500.000,7.0
-,+,Kost Only Seven 1 Tipe VVIP Executive Sawahan Surabaya,True,True,True,True,True,True,Ada,0,Rp3.500.000,7.0
-,+,Kost Bromo Keluarga Sawahan Surabaya,True,True,True,False,True,True,Ada,0,Rp3.500.000,6.0
-,+,Kost Bromo VVIP Sawahan Surabaya,True,True,True,True,True,True,Ada,0,Rp3.500.000,7.0
-,+,Kost Only Seven VIP 1 Sawahan Surabaya,True,True,True,True,True,True,Ada,0,Rp3.500.000,7.0
-,-,Kost Sawentar Homestay Tipe Executive Tambaksari Surabaya,True,True,True,True,True,True,Sisa 1 kamar,0,Rp3.500.000,6.0
-,-,Kost Bromo Tipe VIP Sawahan Surabaya,True,True,True,True,True,True,Penuh,0,Rp3.500.000,7.0
