Singgahsini,Kos Andalan,Name,K. Mandi Dalam,WiFi,AC,Kloset Duduk,Kasur,Akses 24 Jam,Availability,Rating,Price,Kost Raw Value
-,+,Kost Only Seven Tipe E Sawahan Surabaya,True,True,True,True,True,True,Ada,0,Rp3.500.000,7.0
-,+,Kost Only Seven 1 Tipe VVIP Executive Sawahan Surabaya,True,True,True,True,True,True,Ada,0,Rp3.500.000,7.0
-,+,Kost Bromo Keluarga Sawahan Surabaya,True,True,True,False,True,True,Ada,0,Rp3.500.000,6.0
-,+,Kost Bromo VVIP Sawahan Surabaya,True,True,True,True,True,True,Ada,0,Rp3.500.000,7.0
-,+,Kost Only Seven VIP 1 Sawahan Surabaya,True,True,True,True,True,True,Ada,0,Rp3.500.000,7.0
-,-,Kost Sierra Type B Sawahan Surabaya,True,True,False,True,True,True,Sisa 3 kamar,0,Rp3.600.000,5.0
-,-,Kost Harian Qodri Tipe A Gubeng Surabaya,False,False,True,False,True,True,Ada,0,Rp3.750.000,3.0
-,-,Kost Sawentar Homestay Tipe Executive Tambaksari Surabaya,True,True,True,True,True,True,Sisa 1 kamar,0,Rp3.500.000,6.0
-,-,Kost Nonies Standart Genteng Surabaya,True,True,True,True,True,False,Ada,0,Rp3.500.000,5.0
-,-,Kost Sumoharjo Tegalsari Surabaya,True,True,True,False,False,True,Ada,0,Rp3.750.000,4.0
-,-,Kost Jl Ahmad Jais Genteng Surabaya,True,True,True,False,False,True,Penuh,0,Rp3.750.000,5.0
-,-,Kost Bromo Tipe VIP Sawahan Surabaya,True,True,True,True,True,True,Penuh,0,Rp3.500.000,7.0
