Singgahsini,Kos Andalan,Name,K. Mandi Dalam,WiFi,AC,Kloset Duduk,Kasur,Akses 24 Jam,Availability,Rating,Price,Kost Raw Value
-,+,Kost Bu Nur Sukolilo Surabaya,False,True,False,False,True,True,Ada,0,Rp750.000,4.0
-,-,Kost Al Varo Tipe A Gubeng Surabaya,False,True,False,False,True,True,Sisa 2 kamar,0,Rp775.000,3.0
-,+,Kost Rumah Mentari Tipe A Sukolilo Surabaya,False,True,False,False,True,True,Ada,0,Rp700.000,4.0
-,+,Kost Yusup I Gubeng Surabaya,False,True,False,True,True,False,Ada,0,Rp650.000,4.0
-,+,Kost B12 Sukolilo Surabaya,True,True,False,False,True,True,Ada,0,Rp600.000,5.0
-,+,Kost Bintang TMB 33 Sukolilo Surabaya,False,True,False,False,True,True,Ada,0,Rp700.000,4.0
-,+,Kost Siti Amenah Mulyorejo Surabaya,False,True,False,True,True,False,Ada,0,Rp600.000,4.0
-,+,Kost 1B9 Sukolilo Surabaya,True,True,False,False,True,True,Ada,0,Rp800.000,5.0
-,+,Kost Manyar Tipe B Sukolilo Surabaya,False,True,False,True,True,False,Ada,0,Rp700.000,4.0
-,+,Kost Taufan Rizadi Tipe B Tambaksari Surabaya,False,False,False,False,True,False,Ada,0,Rp700.000,2.0
-,+,Kost Villa Tipe A Gubeng Surabaya,False,True,False,True,True,True,Ada,0,Rp700.000,5.0
-,+,Kost Pengkol Tipe A Gubeng Surabaya,False,True,False,True,True,False,Ada,0,Rp600.000,4.0
-,+,Kost Taufan Rizadi Tipe A Tambaksari Surabaya,False,False,False,False,True,False,Ada,0,Rp600.000,2.0
-,+,Kost Klana Gubeng Surabaya,True,True,False,True,True,False,Ada,0,Rp800.000,5.0
-,+,Kost Rumah Asri Tipe B Gubeng Surabaya,True,True,False,False,True,True,Ada,0,Rp760.000,5.0
-,+,Kost Bu Marta 1 Mulyorejo Surabaya,False,True,False,False,True,False,Ada,0,Rp800.000,3.0
-,+,Kost Hygeira Ploso Timur Tambaksari Surabaya,False,True,False,False,True,True,Ada,0,Rp600.000,4.0
-,+,Kost Rumah Asri Tipe A Gubeng Surabaya,False,True,False,False,True,False,Ada,0,Rp655.000,3.0
-,+,Kost Bu Hasanah Sukolilo Surabaya,False,False,False,False,True,True,Ada,0,Rp650.000,3.0
-,+,Kost Esfam 3 Standart Gubeng Surabaya,False,True,False,False,False,True,Ada,0,Rp600.000,3.0
-,+,Kost YY Gubeng Surabaya,False,False,False,False,True,True,Ada,0,Rp600.000,3.0
-,+,Kost Bronggalan Sawah Tipe A Tambaksari Surabaya,False,True,False,True,True,True,Ada,0,Rp650.000,5.0
-,+,Kost Nasha Gubeng Surabaya,False,True,False,True,True,False,Ada,0,Rp775.000,4.0
-,+,Kost Sutorejo Utara Mulyorejo Surabaya,False,False,False,True,True,False,Ada,0,Rp800.000,3.0
-,+,Kost Alela 22 Mojo Gubeng Surabaya,False,True,False,True,True,True,Ada,0,Rp650.000,5.0
-,+,Kost Ibu Hajjah Soelastri Tipe A Gubeng Surabaya,False,True,False,False,True,True,Ada,0,Rp600.000,4.0
-,+,Kost Bu Tina 1 Tipe A Sukolilo Surabaya,False,True,False,True,True,True,Ada,0,Rp800.000,5.0
-,+,Kost Bu Teguh Tipe A Tambaksari Surabaya,True,True,False,True,True,True,Ada,0,Rp750.000,6.0
-,+,Kost Bapak Munasir Mulyorejo Surabaya,True,True,False,False,True,False,Ada,0,Rp650.000,4.0
-,+,Kost Bu Popy Tipe B Sukolilo Surabaya,False,True,False,True,True,True,Ada,0,,5.0
-,+,Kost Fida Mulyorejo Surabaya,False,True,False,False,True,True,Ada,0,,4.0
-,-,Kost Gang IIC Sukolilo Surabaya,False,True,False,False,True,False,Sisa 2 kamar,0,,2.0
-,+,Kost Mojo 3 Tipe Standard Gubeng Surabaya,True,True,False,False,True,False,Ada,0,,4.0
-,-,Kost Maafey Tipe A Tambaksari Surabaya,False,True,False,True,True,False,Sisa 1 kamar,0,,3.0
-,-,Kost Pak Nasirr 2 Mulyorejo Surabaya,False,True,False,False,True,False,Sisa 1 kamar,0,,2.0
-,-,Kost Dimensi Tipe A Tambaksari Surabaya,False,True,False,False,True,True,Sisa 3 kamar,0,,3.0
-,-,Kost Jomblo Ploso Timur Tambaksari Surabaya,False,False,False,True,False,False,Sisa 2 kamar,0,,1.0
-,+,Kost Graha Jansen Tipe C Gubeng Surabaya,False,True,False,False,True,True,Penuh,0,,5.0
