Singgahsini,Kos Andalan,Name,K. Mandi Dalam,WiFi,AC,Kloset Duduk,Kasur,Akses 24 Jam,Availability,Rating,Price,Kost Raw Value
-,+,Kost Kamboja Pink Gubeng Surabaya,False,True,False,True,True,True,Ada,0,Rp1.500.000,5.0
-,+,Kost Cemerlang Tipe A1 Sukolilo Surabaya,True,True,True,True,True,True,Ada,0,Rp1.500.000,7.0
-,+,Kost Permata Residence Gubeng Surabaya,True,True,True,True,True,True,Ada,0,Rp1.300.000,7.0
-,+,Kost Bu Marina Tipe A Sukolilo Surabaya,False,True,True,True,True,True,Ada,0,Rp1.250.000,6.0
-,+,Kost Imanuel Tipe kamar kecil dan besar Sukolilo Surabaya,True,True,True,True,True,True,Ada,0,Rp1.400.000,7.0
-,+,Kost EMK Sukolilo Surabaya,True,True,True,True,True,True,Ada,0,Rp1.500.000,7.0
-,+,Kost Griya Lestari 2 Tipe A Tambaksari Surabaya,False,True,True,True,True,True,Ada,0,Rp1.300.000,6.0
-,+,Kost Kalikepiting Tambaksari Surabaya,True,True,True,True,True,True,Ada,0,Rp1.500.000,7.0
-,+,Kost Me Ibu Kori Tipe A Mulyorejo Surabaya,False,True,True,True,True,False,Ada,0,Rp1.300.000,5.0
-,+,Kost Ayem Mulyorejo Surabaya,False,True,True,True,True,True,Ada,0,Rp1.300.000,6.0
-,+,Kost Me Ibu Kori Tipe B Mulyorejo Surabaya,True,True,True,True,True,True,Ada,0,Rp1.500.000,7.0
-,+,Kost Citra Tipe I Gubeng Surabaya,False,True,True,True,True,True,Ada,0,Rp1.325.000,6.0
-,+,Kost Manyar Tipe Premium A Sukolilo Surabaya,False,True,False,True,True,False,Ada,0,Rp1.300.000,4.0
-,+,Kost Muntini Tipe H Mulyorejo Surabaya,False,True,True,True,True,True,Ada,0,Rp1.350.000,6.0
-,+,Kost Citra Tipe K Gubeng Surabaya,False,True,True,True,True,True,Ada,0,Rp1.350.000,6.0
-,+,Kost Citra Tipe J Gubeng Surabaya,False,True,True,True,True,True,Ada,0,Rp1.275.000,6.0
-,+,Kost Citra Tipe H Gubeng Surabaya,False,True,True,True,True,True,Ada,0,Rp1.375.000,6.0
-,+,Kost Ganis Mulyorejo Surabaya,True,True,True,True,True,True,Ada,0,Rp1.500.000,7.0
-,+,Kost Widja Gubeng Surabaya,True,True,True,False,True,False,Ada,0,Rp1.400.000,5.0
-,+,Kost Mdm Home Tipe B Mulyorejo Surabaya,True,False,True,True,True,True,Ada,0,Rp1.300.000,6.0
-,+,Kost Felix VIP Mulyorejo Surabaya,True,True,True,True,True,True,Ada,0,Rp1.500.000,7.0
-,+,Kost Bu Eko Tambaksari Surabaya,True,True,True,True,True,True,Ada,0,Rp1.500.000,7.0
-,+,Kost Harijanto Tipe VIP Gubeng Surabaya,True,True,True,True,True,True,Ada,0,Rp1.450.000,7.0
-,-,Kost Green House 48 Gubeng Surabaya,True,True,True,False,True,True,Sisa 2 kamar,0,Rp1.500.000,5.0
-,+,Kost Yellow Tipe B Gubeng Surabaya,False,True,True,True,True,True,Ada,0,Rp1.300.000,6.0
-,+,Kost Serenity Executive Mulyorejo Surabaya,True,True,True,True,True,True,Ada,0,Rp1.500.000,7.0
-,+,Kost HLMR Bronggalan Tambaksari Surabaya,True,True,True,False,True,True,Ada,0,Rp1.500.000,6.0
-,+,Kost Muslim Klampis Tipe B Sukolilo Surabaya,True,True,False,True,True,True,Ada,0,Rp1.500.000,6.0
-,-,Kost Lesehan Campoes Sukolilo Surabaya,False,True,True,False,True,True,Sisa 3 kamar,0,,4.0
-,-,Kost Bhaskara Sari 9 Mulyorejo Surabaya,False,True,True,True,True,True,Sisa 1 kamar,0,,5.0
-,-,Kost Wiwik Tipe A Gubeng Surabaya,False,False,False,False,False,True,Sisa 2 kamar,0,,1.0
-,+,Kost Like Tipe B Mulyorejo Surabaya,True,True,True,True,True,True,Penuh,0,,8.0
-,-,Kost Griya Kartika Raya 41 Sukolilo Surabaya,True,True,True,True,True,False,Penuh,0,,6.0
-,-,Kost Sakinah Permai Tipe A Mulyorejo Surabaya,False,True,True,True,True,True,Penuh,0,,6.0
-,+,Kost Kalikepiting Bhakti Tipe A Tambaksari Surabaya,True,True,True,True,True,False,Penuh,0,,7.0
-,-,Kost Martogi Tipe A Mulyorejo Surabaya,True,False,True,True,False,False,Penuh,0,,4.0
-,-,Kost Bem Boo Tipe D Tambaksari Surabaya,True,True,True,True,True,True,Penuh,0,,7.0
-,-,Kost Griya Nawang 57 Tipe A Tambaksari Surabaya,True,True,True,True,True,True,Penuh,0,,7.0
