Singgahsini,Kos Andalan,Name,K. Mandi Dalam,WiFi,AC,Kloset Duduk,Kasur,Akses 24 Jam,Availability,Rating,Price,Kost Raw Value
+,-,Kost Singgahsini Klampis Aji II Tipe B Sukolilo Surabaya,False,True,True,True,True,False,Sisa 1 kamar,0,Rp1.497.500,5.0
+,-,Kost Singgahsini Opung Erwin Tipe A Mojo Surabaya,True,True,True,True,True,True,Ada,0,Rp1.478.600,7.0
+,-,Kost Singgahsini Klampis Aji II Tipe A Sukolilo Surabaya,True,True,True,True,True,False,Sisa 2 kamar,0,Rp1.640.000,6.0
-,+,Kost Kamboja Pink Gubeng Surabaya,False,True,False,True,True,True,Ada,0,Rp1.500.000,5.0
-,+,Kost Cemerlang Tipe A1 Sukolilo Surabaya,True,True,True,True,True,True,Ada,0,Rp1.500.000,7.0
-,+,Kost Mas Mus 1 Tipe A Sukolilo Surabaya,True,True,True,True,True,True,Ada,0,Rp1.600.000,7.0
-,+,Kost Manyar I Sukolilo Surabaya,False,True,True,True,True,False,Ada,0,Rp1.600.000,5.0
-,+,Kost Residence Tipe A Tambaksari Surabaya,True,True,True,False,True,True,Ada,0,Rp1.600.000,6.0
-,+,Kost Putri Unair Linda Surabaya,True,True,True,False,False,True,Ada,0,Rp1.750.000,5.0
-,+,Kost Widya Tambaksari Surabaya,True,True,True,True,True,True,Ada,0,Rp1.600.000,7.0
-,+,Kost EMK Sukolilo Surabaya,True,True,True,True,True,True,Ada,0,Rp1.500.000,7.0
-,+,Kost Bin Hasjim Home Gubeng Surabaya,True,True,True,True,True,True,Ada,0,Rp1.700.000,7.0
-,+,Kost Jl Mojo Kidul Gubeng Surabaya,True,True,True,True,True,False,Ada,0,Rp1.700.000,6.0
-,+,Kost Ibu Asih Tipe B Gubeng Surabaya,True,True,True,True,True,True,Ada,0,Rp1.700.000,7.0
-,+,Kost Ibu Aris VVIP Mulyorejo Surabaya,False,True,True,True,True,True,Ada,0,Rp1.650.000,6.0
-,+,Kost Kalikepiting Tambaksari Surabaya,True,True,True,True,True,True,Ada,0,Rp1.500.000,7.0
-,+,Kost Me Ibu Kori Tipe B Mulyorejo Surabaya,True,True,True,True,True,True,Ada,0,Rp1.500.000,7.0
-,+,Kost Armani Tipe Plus One Mulyorejo Surabaya,False,True,True,True,True,True,Ada,0,Rp1.600.000,6.0
-,+,Kost Multim Mulyosari Mulyorejo surabaya,True,True,True,True,True,True,Ada,0,Rp1.700.000,7.0
-,+,Kost Hartatie Tipe A Gubeng Surabaya,True,True,True,True,True,True,Ada,0,Rp1.502.200,7.0
-,+,Kost Muntini E2 Mulyorejo Surabaya,True,True,True,True,True,True,Ada,0,Rp1.650.000,7.0
-,+,Kost Sutikno Tipe A Sukolilo Surabaya,True,True,True,True,True,False,Ada,0,Rp1.750.000,6.0
-,+,Kost Ganis Mulyorejo Surabaya,True,True,True,True,True,True,Ada,0,Rp1.500.000,7.0
-,+,Kost Felix VIP Mulyorejo Surabaya,True,True,True,True,True,True,Ada,0,Rp1.500.000,7.0
-,+,Kost Hendra Dharmawan Mulyorejo Surabaya,True,True,True,True,True,False,Ada,0,Rp1.700.000,6.0
-,+,Kost Bu Eko Tambaksari Surabaya,True,True,True,True,True,True,Ada,0,Rp1.500.000,7.0
-,+,Kost KDS Tipe B Sukolilo Surabaya,False,True,True,True,True,False,Ada,0,Rp1.650.000,5.0
-,-,Kost Green House 48 Gubeng Surabaya,True,True,True,False,True,True,Sisa 2 kamar,0,Rp1.500.000,5.0
-,-,Kost Sutorejo Tipe B Mulyorejo Surabaya,True,True,True,True,True,True,Sisa 1 kamar,0,Rp1.750.000,6.0
-,-,Kost Mahasiswa Mulyorejo Surabaya,False,True,True,True,True,True,Sisa 2 kamar,0,Rp1.650.000,5.0
-,+,Kost Serenity Executive Mulyorejo Surabaya,True,True,True,True,True,True,Ada,0,Rp1.500.000,7.0
-,-,Kost Royal House of Airlangga Tipe Premiere A Gubeng Surabaya,True,True,True,True,True,False,Sisa 1 kamar,0,,5.0
-,-,Kost Tuti Tipe C Mulyorejo Surabaya,False,True,False,True,True,False,Sisa 1 kamar,0,,3.0
-,-,Kost Liana 1 Tipe B Mulyorejo Surabaya,False,True,True,True,True,True,Sisa 1 kamar,0,,5.0
-,+,Kost Prime Sutorejo Prima Tipe C Mulyorejo Surabaya,False,True,True,True,True,True,Penuh,0,,7.0
-,-,Kost Jl Sutorejo Selatan Mulyosari Surabaya,True,True,True,True,True,True,Penuh,0,,7.0
-,-,Kost Jl Mulyosari Tengah Mulyorejo Surabaya,True,True,True,True,True,True,Penuh,0,,7.0
-,-,Kost KIT Tipe A Mulyorejo Surabaya,False,True,True,True,True,True,Penuh,0,,6.0
-,-,Kost Vila Kalijudan Indah Tipe Standar Mulyorejo Surabaya,True,True,True,True,True,True,Penuh,0,,7.0
-,-,Kost Putri Lily Mulyorejo Surabaya,False,True,True,True,True,False,Penuh,0,,5.0
-,-,Kost Klaris Tipe B Mulyorejo Surabaya,False,True,True,True,True,False,Penuh,0,,5.0
