Singgahsini,Kos Andalan,Name,K. Mandi Dalam,WiFi,AC,Kloset Duduk,Kasur,Akses 24 Jam,Availability,Rating,Price,Kost Raw Value
-,+,Kost B12 Sukolilo Surabaya,True,True,False,False,True,True,Ada,0,Rp600.000,5.0
-,+,Kost Gebang Kidul 56 D Tipe A Sukolilo Surabaya,False,True,False,False,True,True,Ada,0,Rp550.000,4.0
-,+,Kost Siti Amenah Mulyorejo Surabaya,False,True,False,True,True,False,Ada,0,Rp600.000,4.0
-,+,Kost Jojoran Baru 1 No 19 Gubeng Surabaya,False,True,False,False,True,True,Ada,0,Rp550.000,4.0
-,+,Kost Pengkol Tipe A Gubeng Surabaya,False,True,False,True,True,False,Ada,0,Rp600.000,4.0
-,+,Kost Taufan Rizadi Tipe A Tambaksari Surabaya,False,False,False,False,True,False,Ada,0,Rp600.000,2.0
-,+,Kost Angel Mojoarum Tipe Big Mulyorejo Surabaya,False,True,False,True,True,True,Ada,0,Rp500.000,5.0
-,+,Kost Gang III Sukolilo Surabaya,False,True,False,False,True,True,Ada,0,Rp450.000,4.0
-,+,Kost Bu Udin Mulyorejo Surabaya,False,True,False,False,True,False,Ada,0,Rp450.000,3.0
-,+,Kost Hygeira Ploso Timur Tambaksari Surabaya,False,True,False,False,True,True,Ada,0,Rp600.000,4.0
-,+,Kost Esfam 3 Standart Gubeng Surabaya,False,True,False,False,False,True,Ada,0,Rp600.000,3.0
-,+,Kost YY Gubeng Surabaya,False,False,False,False,True,True,Ada,0,Rp600.000,3.0
-,+,Kost Bu Sri Martini I Sukolilo Surabaya,False,False,False,False,True,True,Ada,0,Rp450.000,3.0
-,+,Kost Perak Mulyorejo Surabaya,True,True,True,True,True,True,Ada,0,Rp500.000,7.0
-,+,Kost Angel Kalijudan Tipe Small Mulyorejo Surabaya,False,True,False,True,True,True,Ada,0,Rp550.000,5.0
-,+,Kost Ibu Hajjah Soelastri Tipe A Gubeng Surabaya,False,True,False,False,True,True,Ada,0,Rp600.000,4.0
-,+,Kost Keputih Makam Blk Sukolilo Surabaya,False,False,False,False,True,False,Ada,0,Rp500.000,2.0
-,+,Kost Pak Untung Sukolilo Surabaya,False,False,False,False,True,True,Ada,0,Rp600.000,3.0
-,-,Kost Bu Sholeh Tipe A Mulyorejo Surabaya,True,False,False,False,True,True,Sisa 1 kamar,0,Rp550.000,3.0
-,-,Kost Bronggalan Non AC Tambaksari Surabaya,False,False,False,True,True,True,Sisa 2 kamar,0,Rp600.000,3.0
-,-,Kost Bu Purwati Tipe B Gubeng Surabaya,False,True,False,False,True,True,Sisa 3 kamar,0,Rp500.000,3.0
-,+,Kost C9 Sukolilo Surabaya,False,True,False,False,True,True,Ada,0,Rp600.000,4.0
-,+,Kost Menur Tipe Single Sukolilo Surabaya,False,False,False,False,True,False,Ada,0,Rp600.000,2.0
-,-,Kost Bapak Winarno Gubeng Surabaya,True,False,False,True,True,True,Sisa 1 kamar,0,Rp500.000,4.0
-,-,Kost Kene Tipe A Sukolilo Surabaya,False,True,False,False,True,True,Sisa 1 kamar,0,Rp600.000,3.0
-,-,Kost Keputih D 14 Tipe A Sukolilo Surabaya,False,True,False,False,True,False,Sisa 1 kamar,0,Rp600.000,2.0
-,-,Kost Bu Supatmi Jl Keputih Sukolilo Surabaya,False,True,False,False,True,True,Sisa 2 kamar,0,Rp500.000,3.0
-,-,Kost Regita Gubeng Surabaya,False,True,False,False,True,True,Sisa 3 kamar,0,Rp550.000,3.0
-,-,Kost Inas Nuri Al Salwa Tipe A Mulyorejo Surabaya,False,True,False,False,True,True,Sisa 1 kamar,0,Rp600.000,3.0
-,-,Kost Yasinta Tipe B Mulyorejo Surabaya,True,True,False,False,True,False,,0,,3.0
-,-,Kost Bu Antono TMB 7 Tipe A Mulyorejo Surabaya,False,False,False,False,True,True,Sisa 1 kamar,0,,2.0
-,-,Kost Sby Timur Sukolilo Surabaya,False,True,False,False,True,True,Sisa 1 kamar,0,,3.0
-,-,Kost Ketabar Gubeng Surabaya,False,True,False,False,True,True,Sisa 1 kamar,0,,3.0
-,+,Kost Kalijudan C Mulyorejo Surabaya,False,False,False,True,True,True,Penuh,0,,5.0
-,-,Kost Pak Eko Tipe A Gubeng Surabaya,False,False,False,False,True,True,Penuh,0,,3.0
-,-,Kost Bu Yusup Sukolilo Surabaya,False,True,False,False,True,False,Penuh,0,,3.0
-,-,Kost Green House Boy Tipe A Sukolilo Surabaya,False,True,False,False,True,True,Penuh,0,,4.0
-,-,Kost Bapak Mulyono Sukolilo Surabaya,False,True,False,False,True,True,Penuh,0,,4.0
-,-,Kost Ana Nur Rahmawati Tipe B Sukolilo Surabaya,False,False,False,False,True,True,Penuh,0,,3.0
-,-,Kost Ibu Hari Gubeng Surabaya,False,False,False,False,True,True,Penuh,0,,3.0
-,+,Kost Hygeira Ploso Timur Tambaksari Surabaya,False,True,False,False,True,True,Ada,0,,4.0
-,-,Kost D And D Tipe A Gubeng Surabaya,False,True,False,True,True,False,Penuh,0,,4.0
-,-,Kost Fatkhur Rozi 1A Sukolilo Surabaya,False,True,False,False,True,False,Penuh,0,,3.0
-,-,Kost Bu Djoko Mulyorejo Surabaya,False,False,False,False,True,True,Penuh,0,,3.0
-,+,Kost Esfam 3 Standart Gubeng Surabaya,False,True,False,False,False,True,Ada,0,,3.0
-,-,Kost Pak Ali Rudin Tipe A Sukolilo Surabaya,False,False,False,False,True,True,Sisa 1 kamar,0,,2.0
