Singgahsini,Kos Andalan,Name,K. Mandi Dalam,WiFi,AC,Kloset Duduk,Kasur,Akses 24 Jam,Availability,Rating,Price,Kost Raw Value
-,+,Kost Khanza Kedung Pengkol Gubeng Surabaya,True,True,False,True,True,True,Ada,0,Rp1.000.000,6.0
-,+,Kost Bu Marina Tipe A Sukolilo Surabaya,False,True,True,True,True,True,Ada,0,Rp1.250.000,6.0
-,-,Kost D 25 Sukolilo Surabaya,False,True,True,False,True,True,Sisa 1 kamar,0,Rp1.200.000,4.0
-,+,Kost Graha Jansen Tipe B Gubeng Surabaya,False,True,True,False,True,True,Ada,0,Rp1.000.000,5.0
-,+,Kost Melati 23 Tipe B Mojo Surabaya,False,True,True,True,True,False,Ada,0,Rp1.050.000,5.0
-,+,Kost Kertajaya Mulyorejo Surabaya,True,False,True,True,True,True,Ada,0,Rp1.000.001,6.0
-,+,Kost Bu Titik Kav 25 Mulyorejo Surabaya,True,True,True,False,True,False,Ada,0,Rp1.205.000,5.0
-,+,Kost Riyata 1 Tipe A Gubeng Surabaya,True,True,True,True,True,True,Ada,0,Rp1.200.000,7.0
-,+,Kost Armani Tipe Standard Mulyorejo Surabaya,False,True,False,True,True,True,Ada,0,Rp1.000.000,5.0
-,+,Kost Putri Muslimah Jalan Keputih 3-C/27A Surabaya,True,True,True,True,True,True,Ada,0,Rp1.200.000,7.0
-,+,Kost Berkah 1 Gubeng Surabaya,False,True,True,True,True,True,Ada,0,Rp1.000.000,6.0
-,+,Kost Rumah Mentari Tipe B Sukolilo Surabaya,False,True,True,False,True,True,Ada,0,Rp1.000.000,5.0
-,+,Kost Cantik Tipe A Tambaksari Surabaya,False,True,True,True,True,False,Ada,0,Rp1.200.000,5.0
-,+,Kost Citra Tipe D Gubeng Surabaya,False,True,True,False,True,True,Ada,0,Rp1.200.000,5.0
-,+,Kost Riyata 1 Tipe C Gubeng Surabaya,True,True,True,True,True,True,Ada,0,Rp1.200.000,7.0
-,+,Kost Adiba Tipe C Gubeng Surabaya,False,True,False,False,True,True,Ada,0,Rp1.000.000,4.0
-,+,Kost Bhakti Husada Gubeng Surabaya,True,True,True,True,True,False,Ada,0,Rp1.150.000,6.0
-,+,Kost Mashita I VIP Mulyorejo Surabaya,False,True,True,True,True,True,Ada,0,Rp1.050.000,6.0
-,+,Kost Yudha Gubeng Surabaya,True,True,False,False,True,True,Ada,0,Rp1.000.000,5.0
-,+,Kost Aman Nyaman Religius Tambaksari Surabaya,True,False,False,True,True,True,Ada,0,Rp1.000.000,5.0
-,+,Kost Pratama Jaya Darma Tipe Standard Mulyorejo Surabaya,False,True,True,True,True,False,Ada,0,Rp1.050.000,5.0
-,+,Kost Griya Adis 2 Gubeng Surabaya,True,True,False,True,True,True,Ada,0,Rp1.200.000,6.0
-,+,Kost Pratama Jaya 1 Mulyorejo Surabaya,False,True,True,True,True,True,Ada,0,Rp1.050.000,6.0
-,+,Kost Henny Marcy Single Mulyorejo Surabaya,False,True,True,True,True,True,Ada,0,Rp1.050.000,6.0
-,+,Kost Pratama Mulyosari Mulyorejo Surabaya,False,True,True,True,True,True,Ada,0,Rp1.100.000,6.0
-,+,Kost Wisma Anridah Tipe Standard Gubeng Surabaya,True,True,False,False,True,True,Ada,0,Rp1.000.000,5.0
-,+,Kost Pratama Bhaskara Tipe Ac Mulyorejo Surabaya,False,False,True,True,True,True,Ada,0,Rp1.100.000,5.0
-,-,Kost Keputih Tipe B Sukolilo Surabaya,False,True,True,True,True,True,Sisa 1 kamar,0,Rp1.100.000,5.0
-,-,Kost Mas Angga Vip Gubeng Surabaya,False,True,True,True,True,True,,0,,5.0
-,-,Kos Yessy Rachmasari Tambaksari Surabaya,True,True,True,True,True,True,Sisa 1 kamar,0,,6.0
-,-,Kost Sekar Arum 2 Gubeng Surabaya,True,True,True,True,True,False,Ada,0,,5.0
-,-,Kost Bu Eka Mulyorejo Surabaya,False,False,False,True,True,False,Sisa 1 kamar,0,,2.0
-,-,Kost Ploso Timur Tambaksari Surabaya,True,False,False,False,False,True,Penuh,0,,3.0
-,-,Kost Merpati Sukolilo Surabaya,True,True,True,True,True,False,Penuh,0,,6.0
-,-,Kost Titin Tipe A Sukolilo Surabaya,False,True,False,True,True,False,Penuh,0,,4.0
-,-,Kost Jl Kedung Tarukan Tipe A Gubeng Surabaya,False,False,True,False,True,False,Penuh,0,,3.0
-,-,Kost Nana 1 Tipe A Mulyorejo Surabaya,False,True,False,True,True,True,Penuh,0,,5.0
-,-,Kost Vila Gubeng Surabaya,True,False,True,False,True,False,Penuh,0,,4.0
