Singgahsini,Kos Andalan,Name,K. Mandi Dalam,WiFi,AC,Kloset Duduk,Kasur,Akses 24 Jam,Availability,Rating,Price,Kost Raw Value
-,+,Kost Bu Kadek Tipe A Wiyung Surabaya,True,False,False,False,True,True,Ada,0,Rp350.000,4.0
-,-,Kost Murmer Sawahan Surabaya,False,True,False,False,True,False,Sisa 3 kamar,0,Rp400.000,2.0
-,-,Kost Vilanda Dukuhpakis Surabaya,False,False,False,False,True,True,Sisa 3 kamar,0,Rp400.000,2.0
-,-,Kost Putat 1 Sawahan Surabaya,False,False,False,False,True,True,Penuh,0,Rp350.000,3.0
-,-,Kost Abah Haidar Tipe A Sawahan Surabaya,False,False,False,False,True,False,Penuh,0,Rp350.000,2.0
-,-,Kost Putat 4 Sawahan Surabaya,False,False,False,False,True,False,Penuh,0,Rp300.000,2.0
-,-,Kost Bu Jaman Tipe A Sawahan Surabaya,False,False,False,False,True,True,Penuh,0,Rp350.000,3.0
-,-,Kost Bu Yolli Gayungan Surabaya,False,True,False,False,True,True,Penuh,0,Rp400.000,4.0
-,-,Kost Lusi I Tipe Sedang Sukomanunggal Surabaya,True,False,False,False,True,False,Penuh,0,Rp350.000,3.0
-,-,Kost Abah Haidar Tipe B Sawahan Surabaya,False,False,False,False,True,False,Penuh,0,Rp400.000,2.0
-,-,Kost Putat Jaya 16 Sawahan Surabaya,False,True,False,True,False,True,Penuh,0,Rp400.000,4.0
-,-,Kost Sinlae Sukomanunggal Surabaya,False,False,False,True,True,False,Penuh,0,Rp400.000,3.0
-,-,Kost Nur Intan Jambangan Surabaya,False,True,False,False,True,False,Penuh,0,Rp400.000,3.0
-,-,Kost Denox Tipe B Jambangan Surabaya,False,False,False,False,True,True,Penuh,0,Rp400.000,3.0
