Singgahsini,Kos Andalan,Name,K. Mandi Dalam,WiFi,AC,Kloset Duduk,Kasur,Akses 24 Jam,Availability,Rating,Price,Kost Raw Value
-,+,Kost Ida Tipe A Suko Manunggal Surabaya,True,True,True,False,True,True,Ada,0,Rp2.500.000,6.0
-,+,Kost Kupang Tipe VVIP Dukuhpakis Surabaya,True,True,True,True,True,True,Ada,0,Rp2.300.000,7.0
-,+,Kost Eksekutif Chris Kencana 1 Tipe A Dukuh Pakis Surabaya,True,True,True,True,True,True,Ada,0,Rp2.300.000,7.0
-,+,Kost Phoenix Guesthouse Tipe Executive Dukuhpakis Surabaya,True,False,True,True,True,True,Ada,0,Rp2.500.000,6.0
-,+,Kost Lala Dukuhpakis Surabaya,True,True,True,True,True,True,Ada,0,Rp2.500.000,7.0
-,+,Kost Graha Poernomo Tipe B Suko Manunggal Surabaya,True,True,True,True,True,True,Ada,0,Rp2.450.000,7.0
-,+,Kost KSB 20 Residence Tipe Executive Dukuhpakis Surabaya,True,True,True,True,True,True,Ada,0,Rp2.300.000,7.0
-,+,Kost Graha Poernomo Tipe A Suko Manunggal Surabaya,True,True,True,True,True,True,Ada,0,Rp2.250.000,7.0
-,+,Kost Indra Xxvi Executive Dukuhpakis Surabaya,True,True,True,True,True,True,Ada,0,Rp2.500.000,7.0
-,-,Kost Hr Muhammad Dukuhpakis Surabaya,True,True,False,False,False,True,Sisa 1 kamar,0,Rp2.500.000,3.0
-,+,Kost Pakis Tipe A Dukuhpakis Surabaya,False,True,True,True,True,True,Ada,0,Rp2.500.000,6.0
-,-,Kost Ladys Homestay Surabaya,False,True,True,True,True,True,Sisa 1 kamar,0,Rp2.500.000,5.0
-,-,Kost Elit Suko Manunggal Surabaya,True,True,True,True,True,True,Sisa 1 kamar,0,Rp2.500.000,6.0
-,-,Kost Pavillion Permata Dukuhpakis Surabaya,True,False,True,True,True,True,Sisa 1 kamar,0,Rp2.400.000,5.0
-,-,Kost Riverside Exclusive Sukomanunggal Surabaya,True,True,True,False,False,True,Ada,0,Rp2.500.000,4.0
-,-,Kost Exclusive Mayjen Sungkono 11 Dukuhpakis Surabaya,True,True,True,True,True,False,Sisa 2 kamar,0,Rp2.500.000,5.0
-,-,Kost Executive Cozyliving Tipe D Surabaya Barat,True,False,True,True,True,True,Sisa 2 kamar,0,Rp2.500.000,5.0
-,-,Kost DPS XII3 VIP Dukuhpakis Surabaya,False,True,True,True,True,True,Sisa 2 kamar,0,Rp2.500.000,5.0
-,-,Kost We Stay Residence Satu Dua Sawahan Surabaya,True,True,True,False,False,True,Sisa 3 kamar,0,Rp2.500.000,4.0
-,-,Kost Putat Jaya Tipe A Sawahan Surabaya,True,False,True,True,True,False,Sisa 1 kamar,0,Rp2.500.000,4.0
-,-,Kost Eksklusif Tipe A Dukuh Kupang Dukuhpakis Surabaya,True,True,True,True,True,True,Ada,0,Rp2.375.000,6.0
-,+,Kost Juliwati Tipe A Dukuhpakis Surabaya,True,True,True,True,True,False,Penuh,0,Rp2.500.000,7.0
-,+,Kost Griya Setya Sawahan Surabaya,True,True,True,True,True,True,Penuh,0,Rp2.500.000,8.0
-,+,Kost Rizqi 36 Sawahan Surabaya,True,True,True,True,True,True,Penuh,0,Rp2.500.000,8.0
-,-,Kost KSB 20 Residence VIP Dukuh Pakis Surabaya,True,True,True,True,True,True,Penuh,0,,7.0
