Singgahsini,Kos Andalan,Name,K. Mandi Dalam,WiFi,AC,Kloset Duduk,Kasur,Akses 24 Jam,Availability,Rating,Price,Kost Raw Value
-,+,Kost Grha Amaya Suko Manunggal Surabaya,True,True,True,True,True,True,Ada,0,Rp1.950.000,7.0
-,+,Kost Eksklusif VIP Sawahan Surabaya,True,True,True,True,True,True,Ada,0,Rp2.000.000,7.0
-,+,Kost Tesha VVIP Dukuhpakis Surabaya,True,True,True,True,True,False,Ada,0,Rp2.000.000,6.0
-,+,Kost Eksekutif Chris Kencana 1 Tipe F Dukuhpakis Surabaya,False,True,True,True,True,True,Ada,0,Rp1.900.000,6.0
-,+,Kost Jehouse Executive Dukuhpakis Surabaya,True,True,True,True,True,False,Ada,0,Rp1.900.000,6.0
-,+,Kost Jl Dukuh Kupang XX Dukuh Pakis Surabaya,True,True,True,True,True,True,Ada,0,Rp1.800.000,7.0
-,+,Kost Jl Dukuh Kupang Tipe A Dukuhpakis Surabaya,True,True,True,True,True,False,Ada,0,Rp1.750.000,6.0
-,-,Kost Monica Tipe B Suko Manunggal Surabaya,True,True,True,True,True,True,Sisa 2 kamar,0,Rp1.850.000,6.0
-,+,Kost Dian Damayanti Tipe E Dukuhpakis Surabaya,True,True,True,True,True,True,Ada,0,Rp1.750.000,7.0
-,+,Kost Arah Tipe A Dukuhpakis Surabaya,True,True,False,True,True,True,Ada,0,Rp1.900.000,6.0
-,-,Kost Glorious Guest House Dukuhpakis Surabaya,True,True,True,True,True,True,Sisa 2 kamar,0,Rp1.800.000,6.0
-,+,Kost Jl Dukuh Kupang Tipe B Dukuhpakis Surabaya,True,True,True,True,True,False,Ada,0,Rp1.900.000,6.0
-,-,Kost We Stay Excluisve Standar Sawahan Surabaya,True,True,True,True,True,True,Ada,0,Rp1.800.000,6.0
-,-,Kost Mozahra II Executive Dukuhpakis Surabaya,True,True,True,True,True,True,Ada,0,Rp1.950.000,6.0
-,-,Kost Kita Room Tipe Standart Dukuhpakis Surabaya,True,True,True,True,True,True,Sisa 1 kamar,0,Rp1.700.000,6.0
-,-,Kost Family Guest House Tipe B Kupang Baru Sukomanunggal Surabaya,True,True,True,True,True,False,Sisa 3 kamar,0,Rp2.000.000,5.0
-,-,Kost HR I Executive Dukuh Pakis Surabaya,False,False,True,True,True,True,Sisa 2 kamar,0,Rp1.900.000,4.0
-,-,Kost 783 Tipe A Sawahan Surabaya,True,False,True,True,True,True,Ada,0,Rp2.000.000,5.0
-,-,Kost Thomas AW Dukuh Dukuh Pakis Surabaya,True,True,True,True,True,False,Sisa 3 kamar,0,Rp1.900.000,5.0
-,-,Kost Mall Ciputraword VIP Dukuhpakis Surabaya,False,True,True,True,True,False,Ada,0,Rp1.850.000,4.0
-,-,Kost Keens House Sawahan Surabaya,True,True,True,True,True,True,Ada,0,Rp2.000.000,6.0
-,-,Kost Bapak Hadi Tipe B Dukuh Pakis Surabaya,True,False,True,True,True,False,Sisa 1 kamar,0,Rp1.800.000,4.0
-,-,Kost VIP Jl Dukuh Kupang Dukuhpakis Surabaya,True,True,True,True,True,True,Ada,0,Rp2.000.000,6.0
-,-,Kost Dukuh Kupang Barat VIII Dukuhpakis Surabaya,False,True,True,True,False,True,Sisa 1 kamar,0,Rp1.800.000,4.0
-,-,Kost Komplek Darmo Park 1 Sawahan Surabaya,True,False,True,True,True,True,Ada,0,Rp2.000.000,5.0
-,-,Kost KMB I Tipe A Sawahan Surabaya,True,True,True,True,True,True,Sisa 1 kamar,0,Rp1.950.000,6.0
-,-,Kost KMB Tipe A Sawahan Surabaya,True,True,True,True,True,True,Sisa 1 kamar,0,Rp1.950.000,6.0
-,-,Kost Perlantai Darmo Park Sawahan Surabaya,True,False,False,True,False,True,Ada,0,Rp2.000.000,3.0
-,-,Kost Graha Widya Tipe B Dukuh Pakis Surabaya,True,False,False,True,True,True,Ada,0,,4.0
-,-,Kost Sentosa Tipe B Dukuh Pakis Surabaya,True,True,True,True,True,True,Penuh,0,,7.0
-,-,Kost Trinity Suko Manunggal Surabaya,True,True,True,True,True,True,Penuh,0,,7.0
