Singgahsini,Kos Andalan,Name,K. Mandi Dalam,WiFi,AC,Kloset Duduk,Kasur,Akses 24 Jam,Availability,Rating,Price,Kost Raw Value
-,+,Kost Dukuh Kupang Sawahan Surabaya,False,True,True,True,True,False,Ada,0,Rp1.500.000,5.0
-,+,Kost Anna I Tipe A Dukuhpakis Surabaya,True,True,True,True,True,False,Ada,0,Rp1.600.000,6.0
-,+,Kost Fendin Tipe A Dukuh Pakis Surabaya,True,True,True,False,True,True,Ada,0,Rp1.700.000,6.0
-,+,Kost DK20 Tipe A Dukuhpakis Surabaya,True,False,True,True,True,True,Ada,0,Rp1.500.000,6.0
-,+,Kost Dpt31 Tipe Standar Sukomanunggal Surabaya,False,True,True,True,False,True,Ada,0,Rp1.600.000,5.0
-,+,Kost Buana Dukuh Pakis Surabaya,True,True,True,False,True,False,Ada,0,Rp1.500.000,5.0
-,+,Kost Kencana Dukuh Pakis Surabaya,True,True,True,True,True,True,Ada,0,Rp1.500.000,7.0
-,+,Kost Gosepa 2 Dukuh Pakis Surabaya,False,True,True,True,True,False,Ada,0,Rp1.600.000,5.0
-,+,Kost Pojok Cekli Dukuh Kupang VVIP Dukuhpakis Surabaya,True,True,True,True,True,False,Ada,0,Rp1.500.000,6.0
-,+,Kost DK2053 Tipe A Dukuhpakis Surabaya,True,True,False,True,True,True,Ada,0,Rp1.600.000,6.0
-,+,Kost HR Muhammad Tipe A Suko Manunggal Surabaya,True,False,True,True,True,False,Ada,0,Rp1.600.000,5.0
-,+,Kost Legno Dukuhpakis Surabaya,False,True,True,False,True,True,Ada,0,Rp1.550.000,5.0
-,+,Kost 49 DK Tipe AC Dukuhpakis Surabaya,True,True,True,True,True,True,Ada,0,Rp1.500.000,7.0
-,+,Kost Jl Dukuh Kupang Tipe A Dukuhpakis Surabaya,True,True,True,True,True,False,Ada,0,Rp1.750.000,6.0
-,+,Kost Cozy Dukuh Tipe C Kupang Surabaya,True,True,True,True,True,True,Ada,0,Rp1.600.000,7.0
-,+,Kost Señorita Executive Suko Manunggal Surabaya,True,True,True,True,True,True,Ada,0,Rp1.500.000,7.0
-,+,Kost Dian Damayanti Tipe E Dukuhpakis Surabaya,True,True,True,True,True,True,Ada,0,Rp1.750.000,7.0
-,-,Kost Dukuh Kupang Tipe 1 Sawahan Surabaya,True,True,True,True,True,True,Sisa 1 kamar,0,Rp1.500.000,6.0
-,-,Kost Umala Tipe AC Sawahan Surabaya,True,True,False,True,True,True,Sisa 1 kamar,0,Rp1.500.000,5.0
-,-,Kost Yudi Dukuhpakis Surabaya,True,True,True,True,True,False,Ada,0,Rp1.500.000,5.0
-,-,Kost Kupang Jaya Tipe Medium Suko Manunggal Surabaya,False,True,True,True,True,True,Sisa 1 kamar,0,Rp1.600.000,5.0
-,+,Kost 781 Tipe A Dukuhpakis Surabaya,True,True,True,True,True,True,Ada,0,Rp1.500.000,7.0
-,-,Kost Ladys Homestay Sukomanunggal Surabaya,False,True,True,True,True,True,Sisa 1 kamar,0,Rp1.599.998,5.0
-,-,Kost Guardian Deluxe Pakis Tirtosari Tipe VIP Deluxe Sawahan Surabaya,True,True,True,True,True,True,Sisa 2 kamar,0,Rp1.500.000,6.0
-,-,Kost Dukuh Kupang Timur Tipe A Sawahan Surabaya,True,True,True,True,True,False,,0,,5.0
-,-,Kost Kosigit Sawahan Surabaya,True,False,False,False,False,True,Sisa 2 kamar,0,,2.0
-,-,Kost Ibu Fatimah Tipe C Dukuh Pakis Surabaya,False,False,True,False,True,True,Sisa 1 kamar,0,,3.0
-,-,Kost Bu Silvi Tipe A Sukomanunggal Surabaya,True,True,True,True,True,True,Penuh,0,,7.0
-,-,Kost Alodia Tipe Be Sawahan Surabaya,True,True,True,True,True,False,Penuh,0,,6.0
