Singgahsini,Kos Andalan,Name,K. Mandi Dalam,WiFi,AC,Kloset Duduk,Kasur,Akses 24 Jam,Availability,Rating,Price,Kost Raw Value
-,+,Kost Mayjend Residence Darmopark 1 Vvip Sawahan Surabaya,True,True,True,True,True,True,Ada,0,Rp3.500.000,7.0
-,-,Kost Andalan Tipe Executive Dukuhpakis Surabaya,True,False,True,False,True,True,Sisa 1 kamar,0,Rp3.250.000,4.0
-,-,Kost Sentosa Homestay Dukuhpakis Surabaya,True,True,True,True,True,True,Ada,0,Rp3.500.000,6.0
-,-,Kost Ave Executive Co Living Superior Dukuhpakis Surabaya,True,True,True,True,True,True,Penuh,0,Rp2.900.000,7.0
-,-,Kost Kita Room Tipe VVIP Dukuhpakis Surabaya,True,True,True,True,True,True,Penuh,0,Rp3.250.000,7.0
