Singgahsini,Kos Andalan,Name,K. Mandi Dalam,WiFi,AC,Kloset Duduk,Kasur,Akses 24 Jam,Availability,Rating,Price,Kost Raw Value
-,+,Kost Ken Ken Alun2 Sda Tipe A Sidoarjo,False,True,False,False,True,True,Ada,0,Rp400.000,4.0
-,+,Kost Bukit Kismadani Tipe A Sidoarjo,False,False,False,True,True,False,Ada,0,Rp350.000,3.0
-,+,Kost Abah Nasor Kemiri Sidoarjo Sidoarjo,False,False,False,True,True,False,Ada,0,Rp400.000,3.0
-,-,Kost Jaya Mandiri Sidoarjo,False,False,False,True,True,True,Sisa 1 kamar,0,Rp350.000,3.0
-,-,Kost Umar 78 Sidoarjo Sidoarjo,True,True,False,False,True,True,Ada,0,Rp375.000,4.0
-,-,Kost Pak Aris Buduran Sidoarjo,False,False,False,False,False,True,Sisa 3 kamar,0,Rp350.000,1.0
-,-,Kost Mbak Ulfah Buduran Sidoarjo,True,False,False,False,False,False,Sisa 2 kamar,0,Rp350.000,1.0
-,-,Kost Agus Santoso Tipe C Buduran Sidoarjo,False,False,False,True,True,True,Sisa 1 kamar,0,Rp350.000,3.0
-,-,Kost Bu Agus Sidoarjo Ekonomis Buduran Sidoarjo,True,False,False,True,False,True,Sisa 3 kamar,0,Rp400.000,3.0
-,-,Kost Murah Lingkar Timur H Madzkur Buduran Sidoarjo,True,False,False,False,True,True,Ada,0,Rp350.000,3.0
-,-,Kost Khamdani Buduran Sidoarjo,True,False,False,False,False,False,Penuh,0,Rp400.000,2.0
-,-,Kost Novi Tipe A Sidoarjo Sidoarjo,False,False,False,False,True,False,Penuh,0,Rp350.000,2.0
-,-,Kost Al Rozak Tipe A Buduran Sidoarjo,False,True,False,False,True,False,Penuh,0,Rp250.000,3.0
-,-,Kost Triple N1 Tipe A Buduran Sidoarjo,True,False,False,False,True,False,Penuh,0,Rp375.000,3.0
-,-,Kost Bu Santi Buduran Sidoarjo,True,False,False,False,False,True,Penuh,0,Rp370.000,3.0
